DEPT,DEN,DT,GR,NEUT,RES_DEP,NEU
7564.5,2.2382,137.507,,,,
7565.0,2.2382,137.507,,,,
7565.5,2.2382,137.507,,,,
7566.0,2.2382,137.507,,,,
7566.5,2.2382,137.507,,,,
7567.0,2.2382,137.507,,,,
7567.5,2.2382,137.507,,,,
7568.0,2.2382,137.507,,,,
7568.5,2.2382,137.507,,,,
7569.0,2.2382,137.507,,,,
7569.5,2.2382,137.507,,,,
7570.0,2.2382,137.507,,,,
7570.5,2.2382,137.507,,,,
7571.0,2.2382,137.507,,,,
7571.5,2.2382,137.507,,,,
7572.0,2.2382,137.507,,,,
7572.5,2.2382,137.507,,,,
7573.0,2.2382,137.507,,,,
7573.5,2.2382,137.507,,,,
7574.0,2.2382,137.507,,,,
7574.5,2.2382,137.507,,,,
7575.0,2.2382,137.507,,,,
7575.5,2.2382,137.507,,,,
7576.0,2.2382,137.507,,,,
7576.5,2.2382,137.507,,,,
7577.0,2.2382,137.507,,,,
7577.5,2.2382,137.507,,,,
7578.0,2.2382,137.507,,,,
7578.5,2.2382,137.507,,,,
7579.0,2.2382,137.507,,,,
7579.5,2.2382,137.507,,,,
7580.0,2.2382,137.507,,,,
7580.5,2.2382,137.507,,,,
7581.0,2.2382,137.507,,,,
7581.5,2.2382,137.507,,,,
7582.0,2.2382,137.507,,,,
7582.5,2.2382,137.507,,,,
7583.0,2.2382,137.507,,,,
7583.5,2.2382,137.507,,,,
7584.0,2.2382,137.507,,,,
7584.5,2.2382,137.507,,,,
7585.0,2.2382,137.507,,,,
7585.5,2.2382,137.507,,,,
7586.0,2.2382,137.507,,,,
7586.5,2.2382,137.507,,,,
7587.0,2.2382,137.507,,,,
7587.5,2.2382,137.507,,,,
7588.0,2.2382,137.507,,,,
7588.5,2.2382,137.507,,,,
7589.0,2.2382,137.507,,,,
7589.5,2.2382,137.507,,,,
7590.0,2.2382,137.507,,,,
7590.5,2.2382,137.507,,,,
7591.0,2.2382,137.507,,,,
7591.5,2.2382,137.507,,,,
7592.0,2.2382,137.507,,,,
7592.5,2.2382,137.507,,,,
7593.0,2.2382,137.507,,,,
7593.5,2.2382,137.507,,,,
7594.0,2.2382,137.507,,,,
7594.5,2.2382,137.507,,,,
7595.0,2.2382,137.507,,,,
7595.5,2.2382,137.507,,,,
7596.0,2.2382,137.507,,,,
7596.5,2.2382,137.507,,,,
7597.0,2.2382,137.507,,,,
7597.5,2.2382,137.507,,,,
7598.0,2.2382,137.507,,,,
7598.5,2.2382,137.507,,,,
7599.0,2.2382,137.507,,,,
7599.5,2.2382,137.507,,,,
7600.0,2.2382,137.507,,,,
7600.5,2.2382,137.507,,,,
7601.0,2.2382,137.507,,,,
7601.5,2.2382,137.507,,,,
7602.0,2.2382,137.507,,,,
7602.5,2.2382,137.507,,,,
7603.0,2.2382,137.507,,,,
7603.5,2.2382,137.507,,,,
7604.0,2.2382,137.507,,,,
7604.5,2.2382,137.507,,,,
7605.0,2.2382,137.507,,,,
7605.5,2.2382,137.507,,,,
7606.0,2.2382,137.507,,,,
7606.5,2.2382,137.507,,,,
7607.0,2.2382,137.507,,,,
7607.5,2.2382,137.507,,,,
7608.0,2.2382,137.507,,,,
7608.5,2.2382,137.507,,,,
7609.0,2.2382,137.507,,,,
7609.5,2.2382,137.507,,,,
7610.0,2.2382,137.507,,,,
7610.5,2.2382,137.507,,,,
7611.0,2.2382,137.507,,,,
7611.5,2.2382,137.507,,,,
7612.0,2.2382,137.507,,,,
7612.5,2.2382,137.507,,,,
7613.0,2.2382,137.507,,,,
7613.5,2.2382,137.507,,,,
7614.0,2.2382,137.507,,,,
7614.5,2.2382,137.507,,,,
7615.0,2.2382,137.507,,,,
7615.5,2.2382,137.507,,,,
7616.0,2.2382,137.507,,,,
7616.5,2.2382,137.507,,,,
7617.0,2.2382,137.507,,,,
7617.5,2.2382,137.507,,,,
7618.0,2.2382,137.507,,,,
7618.5,2.2382,137.507,,,,
7619.0,2.2382,137.507,,,,
7619.5,2.2382,137.507,,,,
7620.0,2.2382,137.507,,,,
7620.5,2.2382,137.507,,,,
7621.0,2.2382,137.507,,,,
7621.5,2.2382,137.507,,,,
7622.0,2.2382,137.507,,,,
7622.5,2.2382,137.507,,,,
7623.0,2.2382,137.507,,,,
7623.5,2.2382,137.507,,,,
7624.0,2.2382,137.507,,,,
7624.5,2.2382,137.507,,,,
7625.0,2.2382,137.507,,,,
7625.5,2.2382,137.507,,,,
7626.0,2.2382,137.507,,,,
7626.5,2.2382,137.507,,,,
7627.0,2.2382,137.507,,,,
7627.5,2.2382,137.507,,,,
7628.0,2.2382,137.507,,,,
7628.5,2.2382,137.507,,,,
7629.0,2.2382,137.507,,,,
7629.5,2.2382,137.507,,,,
7630.0,2.2382,137.507,,,,
7630.5,2.2382,137.507,,,,
7631.0,2.2382,137.507,,,,
7631.5,2.2382,137.507,,,,
7632.0,2.2382,137.507,,,,
7632.5,2.2382,137.507,,,,
7633.0,2.2382,137.507,,,,
7633.5,2.2382,137.507,,,,
7634.0,2.2382,137.507,,,,
7634.5,2.2382,137.507,,,,
7635.0,2.2382,137.507,,,,
7635.5,2.2382,137.507,,,,
7636.0,2.2382,137.507,,,,
7636.5,2.2382,137.507,,,,
7637.0,2.2382,137.507,,,,
7637.5,2.2382,137.507,,,,
7638.0,2.2382,137.507,,,,
7638.5,2.2382,137.507,,,,
7639.0,2.2382,137.507,,,,
7639.5,2.2382,137.507,,,,
7640.0,2.2382,137.507,,,,
7640.5,2.2382,137.507,,,,
7641.0,2.2382,137.507,,,,
7641.5,2.2382,137.507,,,,
7642.0,2.2382,137.507,,,,
7642.5,2.2382,137.507,,,,
7643.0,2.2382,137.507,,,,
7643.5,2.2382,137.507,,,,
7644.0,2.2382,137.507,,,,
7644.5,2.2382,137.507,,,,
7645.0,2.2382,137.507,,,,
7645.5,2.2382,137.507,,,,
7646.0,2.2382,137.507,,,,
7646.5,2.2382,137.507,,,,
7647.0,2.2382,137.507,,,,
7647.5,2.2382,137.507,,,,
7648.0,2.2382,137.507,,,,
7648.5,2.2382,137.507,,,,
7649.0,2.2382,137.507,,,,
7649.5,2.2382,137.507,,,,
7650.0,2.2382,137.507,,,,
7650.5,2.2382,137.507,,,,
7651.0,2.2382,137.507,,,,
7651.5,2.2382,137.507,,,,
7652.0,2.2382,137.507,,,,
7652.5,2.2382,137.507,,,,
7653.0,2.2382,137.507,,,,
7653.5,2.2382,137.507,,,,
7654.0,2.2382,137.507,,,,
7654.5,2.2382,137.507,,,,
7655.0,2.2382,137.507,,,,
7655.5,2.2382,137.507,,,,
7656.0,2.2382,137.507,,,,
7656.5,2.2382,137.507,,,,
7657.0,2.2382,137.507,,,,
7657.5,2.2382,137.507,,,,
7658.0,2.2382,137.507,,,,
7658.5,2.2382,137.507,,,,
7659.0,2.2382,137.507,,,,
7659.5,2.2382,137.507,,,,
7660.0,2.2382,137.507,,,,
7660.5,2.2382,137.507,,,,
7661.0,2.2382,137.507,,,,
7661.5,2.2382,137.507,,,,
7662.0,2.2382,137.507,,,,
7662.5,2.2382,137.507,,,,
