Depth,GR,Log_ILD,RHOB,NPHI,PHI,PERM,well
6308.0,86.73,1.342,2.105,0.396,-56.0867,0.2324,freeman_2
6308.5,79.598,1.257,2.105,0.381,-51.332,0.2324,freeman_2
6309.0,72.18,1.083,2.092,0.365,-60.2759,572.4,freeman_2
6309.5,68.811,0.973,2.072,0.373,-57.3716,749.911,freeman_2
6310.0,71.912,0.953,2.057,0.372,-60.0448,927.986,freeman_2
6310.5,73.837,0.931,2.05,0.375,-61.7043,1019.99,freeman_2
6311.0,73.915,0.933,2.05,0.35,-61.7716,1020.43,freeman_2
6311.5,76.56,0.931,2.052,0.352,-49.3067,993.452,freeman_2
6341.0,92.608,1.588,2.106,0.43,-60.0053,0.2324,freeman_2
6341.5,88.486,1.296,2.107,0.414,-57.2573,0.2324,freeman_2
6342.0,78.306,1.14,2.107,0.414,-50.4707,0.2324,freeman_2
6342.5,73.611,1.043,2.101,0.394,-61.5095,0.2324,freeman_2
6343.0,64.927,0.994,2.089,0.392,-54.0233,0.2324,freeman_2
6343.5,67.271,0.942,2.076,0.402,-56.044,0.2324,freeman_2
6344.0,67.491,0.983,2.072,0.414,-56.2336,0.2324,freeman_2
6344.5,74.271,1.042,2.081,0.41,-62.0784,0.2324,freeman_2
6345.0,80.585,1.229,2.102,0.416,-51.99,0.2324,freeman_2
6345.5,84.702,1.475,2.126,0.404,-54.7347,0.2324,freeman_2
6346.0,84.927,1.571,2.139,0.447,-54.8847,0.2324,freeman_2
6346.5,81.267,1.29,2.133,0.435,-52.4447,0.2324,freeman_2
6347.0,81.082,1.068,2.117,0.426,-52.3213,0.2324,freeman_2
6347.5,85.257,1.037,2.11,0.431,-55.1047,0.2324,freeman_2
6348.0,90.369,1.24,2.121,0.452,-58.5127,0.2324,freeman_2
6348.5,91.565,1.619,2.14,0.445,-59.31,0.2324,freeman_2
6349.0,91.751,1.883,2.152,0.415,-59.434,0.2324,freeman_2
6349.5,92.178,1.895,2.155,0.407,-59.7187,0.2324,freeman_2
6350.0,102.091,1.935,2.157,0.452,-66.3273,0.2324,freeman_2
6350.5,100.566,1.973,2.163,0.468,-65.3107,0.2324,freeman_2
6351.0,96.892,1.858,2.167,0.458,-62.8613,0.2324,freeman_2
6351.5,91.643,1.741,2.166,0.421,-59.362,0.2324,freeman_2
6352.0,93.439,1.75,2.159,0.404,-60.5593,0.2324,freeman_2
6352.5,95.375,1.806,2.147,0.412,-61.85,0.2324,freeman_2
6353.0,92.815,1.618,2.13,0.41,-60.1433,0.2324,freeman_2
6353.5,88.979,1.335,2.114,0.42,-57.586,0.2324,freeman_2
6354.0,85.654,1.102,2.109,0.392,-55.3693,0.2324,freeman_2
6354.5,82.166,1.119,2.122,0.429,-53.044,0.2324,freeman_2
6355.0,79.548,1.319,2.141,0.441,-51.2987,0.2324,freeman_2
6355.5,80.735,1.477,2.151,0.456,-52.09,0.2324,freeman_2
6356.0,80.242,1.456,2.15,0.437,-51.7613,0.2324,freeman_2
6356.5,78.647,1.456,2.147,0.43,-50.698,0.2324,freeman_2
6357.0,77.606,1.397,2.141,0.441,-50.004,0.2324,freeman_2
6357.5,74.191,1.297,2.128,0.444,-62.0095,0.2324,freeman_2
6358.0,77.339,1.183,2.11,0.468,-49.826,0.2324,freeman_2
6358.5,77.378,1.121,2.095,0.437,-49.852,0.2324,freeman_2
6359.0,77.387,1.087,2.089,0.425,-49.858,0.2324,freeman_2
6359.5,75.793,1.043,2.091,0.473,-48.7953,0.2324,freeman_2
6360.0,79.364,1.089,2.103,0.526,-51.176,0.2324,freeman_2
6360.5,83.485,1.302,2.123,0.5,-53.9233,0.2324,freeman_2
6361.0,79.899,1.465,2.139,0.404,-51.5327,0.2324,freeman_2
6361.5,64.747,1.361,2.136,0.35,-53.8681,305.696,freeman_2
6362.0,57.032,1.12,2.113,0.368,-47.2172,423.488,freeman_2
6362.5,52.202,0.942,2.085,0.359,-43.0534,631.362,freeman_2
6363.0,58.235,0.848,2.069,0.4,-48.2543,782.586,freeman_2
