DEPTH(m)	CALI	GR	RESS	RESD	DENSITY	NEUTRON	
1667.256	18.802	8.545					
1667.408	18.802	40.809					
1667.561	18.802	40.809					
1667.713	18.802	40.809					
1667.866	18.802	40.809					
1668.018	18.802	40.809					
1668.17	18.802	40.809					
1668.323	18.802	40.809					
1668.475	18.802	40.809					
1668.628	18.802	40.809					
1668.78	18.802	40.809					
1668.932	18.802	40.809					
1669.085	18.802	40.809					
1669.237	18.802	40.809					
1669.39	18.802	40.809					
1669.542	18.802	40.809					
1669.694	18.802	40.809					
1669.847	18.802	40.809					
1669.999	18.806	40.809					
1670.152	18.806	44.162					
1670.304	18.802	46.168					
1670.456	18.801	45.908					
1670.609	18.803	44.984					
1670.761	18.803	48.36					
1670.914	18.806	51.312					
1671.066	18.807	52.637					
1671.218	18.805	48.314					
1671.371	18.805	45.066					
1671.523	18.802	41.911					
1671.676	18.803	41.474					
1671.828	18.803	44.857					
1671.98	18.796	46.027					
1672.133	18.799	48.728					
1672.285	18.797	46.942					
1672.438	18.792	46.515					
1672.59	18.793	42.05					
1672.742	18.791	42.511					
1672.895	18.792	43.233					
1673.047	18.794	46.619					
1673.2	18.793	47.245					
1673.352	18.792	48.394					
1673.504	18.791	46.244					
1673.657	18.79	48.095					
1673.809	18.793	47.668					
1673.962	18.797	48.281					
1674.114	18.806	43.954					
1674.266	18.816	41.904					
1674.419	18.814	43.976					
1674.571	18.817	44.781					
1674.724	18.819	48.484					
1674.876	18.811	46.524					
1675.028	18.795	46.659					
1675.181	18.776	42.097					
1675.333	18.73	40.379					
1675.486	18.681	41.393					
1675.638	18.681	43.399					
1675.79	18.718	43.388					
1675.943	18.762	40.33					
1676.095	18.775	42.015					
1676.248	18.779	41.103					
1676.4	18.781	46.391					
1676.552	18.786	43.476					
1676.705	18.785	46.37					
1676.857	18.784	41.262					
1677.01	18.783	39.083					
1677.162	18.784	40.699					
1677.314	18.786	45.097					
1677.467	18.786	47.527					
1677.619	18.786	47.923					
1677.772	18.781	49.194					
1677.924	18.78	46.944					
1678.076	18.783	43.366					
1678.229	18.782	38.73					
1678.381	18.781	41.109					
1678.534	18.783	45.105					
1678.686	18.784	47.526					
1678.838	18.783	49.474					
1678.991	18.783	46.146					
1679.143	18.788	45.023					
1679.296	18.787	43.231					
1679.448	18.785	44.064					
1679.6	18.783	43.887					
1679.753	18.784	43.64					
1679.905	18.785	48.536					
1680.058	18.784	47.804					
1680.21	18.779	46.735					
1680.362	18.781	45.855					
1680.515	18.784	46.978					
1680.667	18.78	49.043					
1680.82	18.784	44.951					
1680.972	18.786	41.343					
1681.124	18.783	42.206					
1681.277	18.779	42.278					
1681.429	18.779	42.922					
1681.582	18.781	39.927					
1681.734	18.784	42.332					
1681.886	18.784	40.692					
1682.039	18.78	42.503					
1682.191	18.778	38.518					
1682.344	18.783	41.436					
1682.496	18.782	42.113					
1682.648	18.783	40.087					
1682.801	18.785	37.676					
1682.953	18.778	36.853					
1683.106	18.774	39.572					
1683.258	18.779	39.096					
1683.41	18.78	38.858					
1683.563	18.777	41.82					
1683.715	18.777	47.168					
1683.868	18.779	46.592					
1684.02	18.777	43.104					
1684.172	18.774	40.799					
1684.325	18.773	40.134					
1684.477	18.767	38.365					
1684.63	18.755	35.551					
1684.782	18.75	36.779					
1684.934	18.746	42.756					
1685.087	18.739	47.476					
1685.239	18.736	49.801					
1685.392	18.72	49.208					
1685.544	18.704	49.467					
1685.696	18.701	47.409					
1685.849	18.697	48.064					
1686.001	18.696	49.369					
1686.154	18.694	46.079					
1686.306	18.691	46.18					
1686.458	18.689	42.072					
1686.611	18.692	42.983					
1686.763	18.695	38.17					
1686.916	18.691	40.785					
1687.068	18.676	44.43					
1687.22	18.658	48.295					
1687.373	18.649	48.194					
1687.525	18.608	46.606					
1687.678	18.59	42.197					
1687.83	18.691	40.753					
1687.982	18.754	42.676					
1688.135	18.757	47.01					
1688.287	18.752	46.661					
1688.44	18.747	47.326					
1688.592	18.742	45.854					
1688.744	18.742	49.311					
1688.897	18.738	45.911					
1689.049	18.737	45.766					
1689.202	18.74	44.014					
1689.354	18.736	44.931					
1689.506	18.732	45.032					
1689.659	18.726	45.072					
1689.811	18.724	43.122					
1689.964	18.73	43.899					
1690.116	18.729	43.649					
1690.268	18.728	43.337					
1690.421	18.729	41.814					
1690.573	18.731	41.867					
1690.726	18.739	42.714					
1690.878	18.741	45.386					
1691.03	18.742	46.194					
1691.183	18.742	47.956					
1691.335	18.742	47.058					
1691.488	18.742	47.305					
1691.64	18.741	47.517					
1691.792	18.732	46.04					
1691.945	18.726	45.838					
1692.097	18.729	42.301					
1692.25	18.736	40.864					
1692.402	18.74	36.813					
1692.554	18.738	38.391					
1692.707	18.736	38.247					
1692.859	18.737	41.182					
1693.012	18.737	41.318					
1693.164	18.735	44.258					
1693.316	18.733	44.757					
1693.469	18.736	43.706					
1693.621	18.741	43.41					
1693.774	18.742	41.65					
1693.926	18.74	41.137					
1694.078	18.74	38.876					
1694.231	18.742	42.168					
1694.383	18.742	43.338					
1694.536	18.742	44.566					
1694.688	18.742	44.137					
1694.84	18.742	44.588					
1694.993	18.742	44.729					
1695.145	18.742	40.153					
1695.298	18.742	43.32					
1695.45	18.739	43.287					
1695.602	18.737	45.712					
1695.755	18.736	40.947					
1695.907	18.735	40.548					
1696.06	18.733	41.716					
1696.212	18.733	43.348					
1696.364	18.732	47.104					
1696.517	18.731	48.861					
1696.669	18.737	48.836					
1696.822	18.736	49.393					
1696.974	18.734	50.104					
1697.126	18.732	48.452					
1697.279	18.728	47.784					
1697.431	18.728	46.089					
1697.584	18.737	49.57					
1697.736	18.741	50.732					
1697.888	18.741	50.281					
1698.041	18.742	51.215					
1698.193	18.736	49.351					
1698.346	18.733	48.496					
1698.498	18.731	48.297					
1698.65	18.722	48.204					
1698.803	18.711	46.307					
1698.955	18.708	44.695					
1699.108	18.703	42.232					
1699.26	18.689	40.358					
1699.412	18.669	38.827					
1699.565	18.626	34.675					
1699.717	18.577	37.144					
1699.87	18.593	41.386					
1700.022	18.631	43.291					
1700.174	18.661	43.862					
1700.327	18.666	42.13					
1700.479	18.663	44.492					
1700.632	18.665	44.291					
1700.784	18.668	38.454					
1700.936	18.67	35.868					
1701.089	18.667	33.278					
1701.241	18.669	40.402					
1701.394	18.67	40.077					
1701.546	18.665	43.773					
1701.698	18.662	41.43					
1701.851	18.665	44.265					
1702.003	18.662	42.746					
1702.156	18.659	41.972					
1702.308	18.657	38.885					
1702.46	18.651	39.518					
1702.613	18.653	43.237					
1702.765	18.655	45.121					
1702.918	18.655	46.956					
1703.07	18.653	44.212					
1703.222	18.651	44.218					
1703.375	18.649	44.405					
1703.527	18.649	43.783					
1703.68	18.649	46.715					
1703.832	18.647	47.336					
1703.984	18.646	48.713					
1704.137	18.646	50.875					
1704.289	18.641	48.286					
1704.442	18.638	46.723					
1704.594	18.637	45.763					
1704.746	18.637	49.425					
1704.899	18.636	49.934					
1705.051	18.628	51.011					
1705.204	18.617	51.678					
1705.356	18.613	55.231					
1705.508	18.607	53.09					
1705.661	18.602	48.516					
1705.813	18.595	49.19					
1705.966	18.588	52.554					
1706.118	18.587	57.886					
1706.27	18.576	55.424					
1706.423	18.568	53.488					
1706.575	18.58	50.069					
1706.728	18.6	45.709					
1706.88	18.623	43.007					
1707.032	18.638	41.941					
1707.185	18.64	48.447					
1707.337	18.642	49.723					
1707.49	18.638	51.132					
1707.642	18.632	49.35					
1707.794	18.631	49.651					
1707.947	18.63	48.055					
1708.099	18.63	46.998					
1708.252	18.629	45.823					
1708.404	18.619	44.607					
1708.556	18.611	46.002					
1708.709	18.606	48.285					
1708.861	18.6	48.325					
1709.014	18.591	51.007					
1709.166	18.576	53.455					
1709.318	18.569	52.703					
1709.471	18.563	51.959					
1709.623	18.547	50.43					
1709.776	18.537	52.011					
1709.928	18.536	50.7					
1710.08	18.528	50.657					
1710.233	18.529	48.552					
1710.385	18.531	51.028					
1710.538	18.533	49.356					
1710.69	18.533	51.493					
1710.842	18.536	48.562					
1710.995	18.545	50.789					
1711.147	18.548	48.406					
1711.3	18.533	47.934					
1711.452	18.513	44.953					
1711.604	18.499	42.506					
1711.757	18.475	43.174					
1711.909	18.477	42.938					
1712.062	18.545	49.988					
1712.214	18.612	52.131					
1712.366	18.648	54.75					
1712.519	18.661	50.313					
1712.671	18.67	46.402					
1712.824	18.678	43.277					
1712.976	18.685	38.063					
1713.128	18.681	34.358					
1713.281	18.676	35.899					
1713.433	18.686	35.807					
1713.586	18.604	39.945					
1713.738	18.373	37.414					
1713.89	18.261	37.865					
1714.043	18.303	38.825					
1714.195	19.003	47.333	9.84E-02	9.22E-02	3.063	0.745	
1714.348	20.518	58.374	9.83E-02	0.174	2.195	0.581	
1714.5	21.169	63.341	0.136	0.262	1.656	0.527	
1714.652	21.196	62.616	0.22	0.29	1.365	0.649	
1714.805	21.199	63.026	0.328	0.366	1.3	0.916	
1714.957	21.195	63.602	0.415	0.431	1.305	1.165	
1715.11	21.197	66.132	0.516	0.51	1.318	0.74	
1715.262	21.207	67.287	0.58	0.594	1.331	0.786	
1715.414	21.208	70.593	0.61	0.64	1.344	0.785	
1715.567	21.205	69.848	0.624	0.673	1.386	0.882	
1715.719	21.204	67.433	0.658	0.74	1.516	0.748	
1715.872	21.143	62.652	0.657	0.786	1.668	0.695	
1716.024	21.111	57.628	0.579	0.738	1.69	0.61	
1716.176	21.17	54.667	0.509	0.676	1.554	0.654	
1716.329	21.198	54.702	0.487	0.704	1.402	0.974	
1716.481	21.205	57.426	0.492	0.781	1.365	1.467	
1716.634	21.206	61.456	0.478	0.805	1.402	1.16	
1716.786	21.207	66.656	0.442	0.789	1.443	0.574	
1716.938	21.207	71.364	0.413	0.783	1.479	0.449	
1717.091	21.205	73.444	0.414	0.802	1.514	0.399	
1717.243	21.208	72.915	0.411	0.811	1.54	0.422	
1717.396	21.207	73.392	0.41	0.806	1.547	0.419	
1717.548	21.206	71.959	0.423	0.8	1.534	0.401	
1717.7	21.205	69.771	0.422	0.804	1.516	0.49	
1717.853	21.207	69.323	0.442	0.844	1.506	0.705	
1718.005	21.208	71.937	0.433	0.837	1.486	0.919	
1718.158	21.207	69.455	0.397	0.759	1.433	0.804	
1718.31	21.202	66.502	0.354	0.67	1.356	0.785	
1718.462	21.2	61.609	0.349	0.647	1.294	0.873	
1718.615	21.202	59.045	0.384	0.707	1.268	0.777	
1718.767	21.205	56.51	0.402	0.767	1.265	0.771	
1718.92	21.201	52.77	0.431	0.812	1.267	0.717	
1719.072	21.202	51.026	0.46	0.853	1.27	1.189	
1719.224	21.204	50.597	0.463	0.86	1.273	0.903	
1719.377	21.205	49.485	0.468	0.85	1.272	1.188	
1719.529	21.205	47.107	0.46	0.832	1.266	0.817	
1719.682	21.205	43.872	0.449	0.812	1.259	0.656	
1719.834	21.204	41.873	0.455	0.806	1.254	0.689	
1719.986	21.205	44.688	0.472	0.814	1.254	0.593	
1720.139	21.206	50.947	0.476	0.827	1.257	0.663	
1720.291	21.205	55.641	0.48	0.841	1.261	0.67	
1720.444	21.202	54.138	0.489	0.856	1.269	0.731	
1720.596	21.201	52.755	0.501	0.872	1.279	0.794	
1720.748	21.201	57.12	0.518	0.883	1.288	0.656	
1720.901	21.2	62.495	0.54	0.879	1.295	0.633	
1721.053	21.198	67.506	0.553	0.875	1.324	0.746	
1721.206	21.201	71.154	0.572	0.898	1.409	0.869	
1721.358	21.204	67.805	0.617	0.946	1.521	0.854	
1721.51	21.204	67.536	0.667	0.972	1.568	0.566	
1721.663	21.202	68.179	0.662	0.93	1.509	0.647	
1721.815	21.199	68.834	0.645	0.871	1.408	0.648	
1721.968	21.195	71.207	0.647	0.852	1.368	1.052	
1722.12	21.196	74.786	0.668	0.872	1.441	0.611	
1722.272	21.2	76.735	0.711	0.917	1.633	0.591	
1722.425	20.147	79.741	0.764	0.983	1.87	0.477	
