DEPT,DEN,DT,GR,NEUT,RES_DEP,NEU
7681.5,2.2382,137.507,39.0321,0.5983,,
7682.0,2.2382,137.507,39.0321,0.5983,,
7682.5,2.2382,137.507,39.0321,0.5983,0.9332,
7683.0,2.2382,137.507,39.0321,0.5983,0.9332,
7683.5,2.2382,137.507,39.0321,0.5983,0.9332,
7684.0,2.2382,137.507,39.0321,0.5983,0.9332,
7684.5,2.2382,137.507,39.0321,0.5983,0.9332,
7685.0,2.2382,137.507,39.0321,0.5983,0.9332,
7685.5,2.2382,137.507,39.0321,0.5983,0.9332,
7686.0,2.2382,137.507,39.0321,0.5983,0.9332,
7686.5,2.2382,137.507,39.0321,0.5983,0.9332,
7687.0,2.2382,137.507,39.0321,0.5983,0.9332,
7687.5,2.2382,137.507,39.0321,0.5983,0.9332,
7688.0,2.2382,137.507,39.0321,0.5983,0.9332,
7688.5,2.2382,137.507,39.0321,0.5983,0.9332,
7689.0,2.2382,137.507,39.0321,0.5983,0.9332,
7689.5,2.2382,137.507,39.0321,0.5983,0.9332,
7690.0,2.2382,137.507,39.0321,0.5983,0.9332,
7690.5,2.2382,137.507,39.0321,0.5983,0.9332,
7691.0,2.2382,137.507,39.0321,0.5983,0.9332,
7691.5,2.2382,137.507,39.0321,0.5983,0.9332,
7692.0,2.2382,137.507,39.0321,0.5983,0.9332,
7692.5,2.2382,137.507,39.0321,0.5983,0.9332,
7693.0,2.2382,137.507,39.0321,0.5983,0.9332,
7693.5,2.2382,137.507,39.0321,0.5983,0.9332,
7694.0,2.2382,137.507,39.0321,0.5983,0.9332,
7694.5,2.2382,137.507,39.0321,0.5983,0.9332,
7695.0,2.2382,137.507,39.0321,0.5983,0.9332,
7695.5,2.2382,137.507,39.0321,0.5983,0.9332,
7696.0,2.2382,137.507,39.0321,0.5983,0.9332,
7696.5,2.2382,137.507,39.0321,0.5983,0.9332,
7697.0,2.2382,137.507,39.0321,0.5983,0.9332,
7697.5,2.2382,137.507,39.0321,0.5983,0.9332,
7698.0,2.2382,137.507,39.0321,0.5983,0.9332,
7698.5,2.2382,137.507,39.0321,0.5983,0.9332,
7699.0,2.2382,137.507,39.0321,0.5983,0.9332,
7699.5,2.2382,137.507,39.0321,0.5983,0.9332,
7700.0,2.2382,137.507,39.0321,0.5983,0.9332,
