columns,eval_params
"['Depth', 'GR']","{'svr': {'MSE': 2.5834839449957827e+21, 'R2': -0.003234507796569197}, 'ann': {'RMSE': 50827983921.961975}, 'gbr': {'MSE': 1.1904688338104191e+23, 'RMSE': 345031713587.37726, 'R-squared': -45.22902406064309}, 'dtr': {'MSE': 1.2171717549617443e+23, 'RMSE': 348879886918.3697, 'R-squared': -46.2659684554349}, 'rfr': {'MSE': 6.449071094083893e+22, 'RMSE': 253950213508.15778, 'R-squared': -24.043432831663672}}"
"['Depth', 'Log_ILD']","{'svr': {'MSE': 2.58348394470549e+21, 'R2': -0.003234507683841148}, 'ann': {'RMSE': 50827983921.96277}, 'gbr': {'MSE': 1.184733606842691e+23, 'RMSE': 344199594253.49286, 'R-squared': -45.00631017015364}, 'dtr': {'MSE': 1.2245695284862792e+23, 'RMSE': 349938498666.0198, 'R-squared': -46.553243384898}, 'rfr': {'MSE': 1.1890689946973784e+23, 'RMSE': 344828797332.4412, 'R-squared': -45.17466464005191}}"
"['Depth', 'RHOB']","{'svr': {'MSE': 2.583483946856578e+21, 'R2': -0.003234508519164736}, 'ann': {'RMSE': 30225081178.441223}, 'gbr': {'MSE': 3.155418899567228e+20, 'RMSE': 17763498809.545456, 'R-squared': 0.8774668163612495}, 'dtr': {'MSE': 1.5316895011464943e+21, 'RMSE': 39136804943.00083, 'R-squared': 0.40520483366797766}, 'rfr': {'MSE': 4.1529974363888733e+20, 'RMSE': 20378904377.784576, 'R-squared': 0.838728227940166}}"
"['Depth', 'NPHI']","{'svr': {'MSE': 2.5834839460379026e+21, 'R2': -0.003234508201251707}, 'ann': {'RMSE': 61876256751.25455}, 'gbr': {'MSE': 1.6740038338893892e+23, 'RMSE': 409145919433.32263, 'R-squared': -64.00595506291535}, 'dtr': {'MSE': 8.821528264539417e+23, 'RMSE': 939229911392.2755, 'R-squared': -341.56305651255644}, 'rfr': {'MSE': 1.1074330381983643e+23, 'RMSE': 332781165061.72107, 'R-squared': -42.004526548215445}}"
"['Depth', 'PHI']","{'svr': {'MSE': 2.583483946826195e+21, 'R2': -0.003234508507366174}, 'ann': {'RMSE': 20358215651.199707}, 'gbr': {'MSE': 5.195999268261605e+19, 'RMSE': 7208328008.811479, 'R-squared': 0.9798225733954996}, 'dtr': {'MSE': 5.509837046831099e+19, 'RMSE': 7422827659.882114, 'R-squared': 0.9786038590701367}, 'rfr': {'MSE': 2.807945693211595e+19, 'RMSE': 5299005277.60786, 'R-squared': 0.9890960111406721}}"
"['GR', 'Log_ILD']","{'svr': {'MSE': 2.583483948965461e+21, 'R2': -0.003234509338099212}, 'ann': {'RMSE': 51818520123.391014}, 'gbr': {'MSE': 8.129346194798059e+23, 'RMSE': 901628870145.475, 'R-squared': -314.6838131022121}, 'dtr': {'MSE': 9.535242139783301e+23, 'RMSE': 976485644532.6425, 'R-squared': -369.27843634779083}, 'rfr': {'MSE': 3.9212723243791655e+23, 'RMSE': 626200632735.1615, 'R-squared': -151.2732787987681}}"
"['GR', 'RHOB']","{'svr': {'MSE': 2.583483947070498e+21, 'R2': -0.0032345086022356195}, 'ann': {'RMSE': 50827983921.79764}, 'gbr': {'MSE': 2.7229407151693074e+20, 'RMSE': 16501335446.470104, 'R-squared': 0.8942610774325297}, 'dtr': {'MSE': 3.2396897998472675e+20, 'RMSE': 17999138312.283916, 'R-squared': 0.8741943564983662}, 'rfr': {'MSE': 4.189918241478089e+20, 'RMSE': 20469289781.22614, 'R-squared': 0.8372944963393609}}"
"['GR', 'NPHI']","{'svr': {'MSE': 2.583483948701375e+21, 'R2': -0.003234509235547689}, 'ann': {'RMSE': 70965835233.80055}, 'gbr': {'MSE': 8.532751254636761e+21, 'RMSE': 92372892423.247, 'R-squared': -2.313490885700102}, 'dtr': {'MSE': 1.3081727085167587e+22, 'RMSE': 114375377967.32121, 'R-squared': -4.0799773920942926}, 'rfr': {'MSE': 1.093822338379345e+22, 'RMSE': 104585961695.59972, 'R-squared': -3.2475987411746274}}"
"['GR', 'PHI']","{'svr': {'MSE': 2.5834839471448046e+21, 'R2': -0.00323450863109076}, 'ann': {'RMSE': 30759375977.261086}, 'gbr': {'MSE': 4.894454678420075e+19, 'RMSE': 6996037934.731398, 'R-squared': 0.9809935500479938}, 'dtr': {'MSE': 5.615604251223385e+19, 'RMSE': 7493733549.588873, 'R-squared': 0.9781931373025599}, 'rfr': {'MSE': 6.300356919900661e+19, 'RMSE': 7937478768.412966, 'R-squared': 0.9755340632724947}}"
"['Log_ILD', 'RHOB']","{'svr': {'MSE': 2.5834839463810884e+21, 'R2': -0.00323450833451977}, 'ann': {'RMSE': 50827983921.78611}, 'gbr': {'MSE': 3.1298996489244744e+20, 'RMSE': 17691522401.773327, 'R-squared': 0.8784577957287625}, 'dtr': {'MSE': 3.2539259520075124e+20, 'RMSE': 18038641722.722675, 'R-squared': 0.8736415294086889}, 'rfr': {'MSE': 3.9671360262986865e+20, 'RMSE': 19917670612.54575, 'R-squared': 0.8459457134844979}}"
"['Log_ILD', 'NPHI']","{'svr': {'MSE': 2.58348394882173e+21, 'R2': -0.0032345092822847477}, 'ann': {'RMSE': 61690335215.858665}, 'gbr': {'MSE': 7.066812982786728e+21, 'RMSE': 84064338353.35129, 'R-squared': -1.7442286445050934}, 'dtr': {'MSE': 1.5147060865585598e+23, 'RMSE': 389192251536.25037, 'R-squared': -57.820006145133014}, 'rfr': {'MSE': 1.8491009933787376e+22, 'RMSE': 135981652930.78098, 'R-squared': -6.1805436552132065}}"
"['Log_ILD', 'PHI']","{'svr': {'MSE': 2.583483946655601e+21, 'R2': -0.0032345084411202762}, 'ann': {'RMSE': 50827983921.76799}, 'gbr': {'MSE': 4.987029771499459e+19, 'RMSE': 7061890519.89583, 'R-squared': 0.9806340567052169}, 'dtr': {'MSE': 5.60833638327329e+19, 'RMSE': 7488882682.532349, 'R-squared': 0.978221360338123}, 'rfr': {'MSE': 4.073904505405018e+19, 'RMSE': 6382714552.136119, 'R-squared': 0.9841799613688061}}"
"['RHOB', 'NPHI']","{'svr': {'MSE': 2.58348394749444e+21, 'R2': -0.0032345087668632644}, 'ann': {'RMSE': 38115031802.645355}, 'gbr': {'MSE': 3.17069595036784e+20, 'RMSE': 17806448130.85372, 'R-squared': 0.8768735684500238}, 'dtr': {'MSE': 5.037709373911644e+20, 'RMSE': 22444842111.076756, 'R-squared': 0.8043725453007736}, 'rfr': {'MSE': 3.5589079700935115e+20, 'RMSE': 18865068168.690807, 'R-squared': 0.8617982785383294}}"
"['RHOB', 'PHI']","{'svr': {'MSE': 2.5834839468240095e+21, 'R2': -0.0032345085065175194}, 'ann': {'RMSE': 50827983921.72652}, 'gbr': {'MSE': 9.286995488121251e+19, 'RMSE': 9636905876.950989, 'R-squared': 0.96393616315874}, 'dtr': {'MSE': 3.239149763032208e+20, 'RMSE': 17997638075.681507, 'R-squared': 0.8742153275428892}, 'rfr': {'MSE': 1.7145021289804546e+20, 'RMSE': 13093899835.34491, 'R-squared': 0.9334213900258365}}"
"['NPHI', 'PHI']","{'svr': {'MSE': 2.583483947613004e+21, 'R2': -0.0032345088129048793}, 'ann': {'RMSE': 50827983921.78036}, 'gbr': {'MSE': 5.027968702012333e+19, 'RMSE': 7090817091.148476, 'R-squared': 0.9804750801112947}, 'dtr': {'MSE': 2.3832176934692916e+20, 'RMSE': 15437673702.567015, 'R-squared': 0.907453412500938}, 'rfr': {'MSE': 3.260517119799394e+19, 'RMSE': 5710093799.404169, 'R-squared': 0.9873385577093278}}"
"['Depth', 'GR', 'Log_ILD']","{'svr': {'MSE': 2.5834839453044273e+21, 'R2': -0.00323450791642399}, 'ann': {'RMSE': 161590161149.29074}, 'gbr': {'MSE': 1.1869853386086065e+23, 'RMSE': 344526535786.23035, 'R-squared': -45.093750814568864}, 'dtr': {'MSE': 1.2245952912537349e+23, 'RMSE': 349942179688.8359, 'R-squared': -46.554243820661426}, 'rfr': {'MSE': 6.803873932326557e+22, 'RMSE': 260842364893.5609, 'R-squared': -25.421225217324444}}"
"['Depth', 'GR', 'RHOB']","{'svr': {'MSE': 2.5834839472832863e+21, 'R2': -0.0032345086848668547}, 'ann': {'RMSE': 50827983921.6545}, 'gbr': {'MSE': 2.715443661256068e+20, 'RMSE': 16478603282.001991, 'R-squared': 0.8945522076796187}, 'dtr': {'MSE': 1.312803465995312e+21, 'RMSE': 36232629852.04513, 'R-squared': 0.4902040163274223}, 'rfr': {'MSE': 3.49624840490003e+20, 'RMSE': 18698257685.945045, 'R-squared': 0.8642315136341926}}"
"['Depth', 'GR', 'NPHI']","{'svr': {'MSE': 2.5834839463079444e+21, 'R2': -0.0032345083061160462}, 'ann': {'RMSE': 50827983921.99421}, 'gbr': {'MSE': 1.83049401397967e+23, 'RMSE': 427842729747.70416, 'R-squared': -70.08287878841293}, 'dtr': {'MSE': 1.199204879793119e+23, 'RMSE': 346295376780.15845, 'R-squared': -45.56826761617276}, 'rfr': {'MSE': 1.2340040134441094e+23, 'RMSE': 351283932659.0542, 'R-squared': -46.919609155868514}}"
"['Depth', 'GR', 'PHI']","{'svr': {'MSE': 2.583483947082649e+21, 'R2': -0.0032345086069540674}, 'ann': {'RMSE': 50827983921.86103}, 'gbr': {'MSE': 5.017747430877768e+19, 'RMSE': 7083606024.390239, 'R-squared': 0.9805147719852683}, 'dtr': {'MSE': 6.244422691352898e+20, 'RMSE': 24988842893.085102, 'R-squared': 0.7575127053772583}, 'rfr': {'MSE': 3.5154322061330436e+19, 'RMSE': 5929108032.523141, 'R-squared': 0.9863486556367284}}"
"['Depth', 'Log_ILD', 'RHOB']","{'svr': {'MSE': 2.5834839467887286e+21, 'R2': -0.0032345084928171453}, 'ann': {'RMSE': 50827983921.84293}, 'gbr': {'MSE': 3.127861563775215e+20, 'RMSE': 17685761402.255814, 'R-squared': 0.8785369399152602}, 'dtr': {'MSE': 1.3167520182064964e+21, 'RMSE': 36287077840.554985, 'R-squared': 0.4886706900446056}, 'rfr': {'MSE': 3.581101638424807e+20, 'RMSE': 18923798874.498764, 'R-squared': 0.8609364402455978}}"
"['Depth', 'Log_ILD', 'NPHI']","{'svr': {'MSE': 2.5834839461738903e+21, 'R2': -0.003234508254059243}, 'ann': {'RMSE': 277934311132.0521}, 'gbr': {'MSE': 2.6213599938477974e+23, 'RMSE': 511992186839.5842, 'R-squared': -100.7942769986831}, 'dtr': {'MSE': 1.2145848196465176e+23, 'RMSE': 348508941011.0618, 'R-squared': -46.165510978905964}, 'rfr': {'MSE': 7.0869716548016606e+22, 'RMSE': 266213667094.7166, 'R-squared': -26.5205678504218}}"
"['Depth', 'Log_ILD', 'PHI']","{'svr': {'MSE': 2.583483946620241e+21, 'R2': -0.003234508427388816}, 'ann': {'RMSE': 50827983921.90316}, 'gbr': {'MSE': 5.131598439305004e+19, 'RMSE': 7163517599.130335, 'R-squared': 0.9800726586885207}, 'dtr': {'MSE': 2.027807054338844e+20, 'RMSE': 14240109038.693644, 'R-squared': 0.9212549388585667}, 'rfr': {'MSE': 3.1107118273836626e+19, 'RMSE': 5577375572.241538, 'R-squared': 0.9879202909114757}}"
"['Depth', 'RHOB', 'NPHI']","{'svr': {'MSE': 2.583483947505357e+21, 'R2': -0.00323450877110254}, 'ann': {'RMSE': 45049438515.95702}, 'gbr': {'MSE': 3.1412885212808525e+20, 'RMSE': 17723680546.886566, 'R-squared': 0.8780155359742576}, 'dtr': {'MSE': 1.5439465224428805e+21, 'RMSE': 39293084918.8872, 'R-squared': 0.4004451111424513}, 'rfr': {'MSE': 3.436219813732216e+20, 'RMSE': 18537043490.622272, 'R-squared': 0.8665625811150112}}"
