,WellID,Well,Run,AHDepth,TVDSS,Pressure,fluid
0,8,Freeman-5 - 702W4,1,10025.1,9440.882,4601.7,
1,8,Freeman-5 - 702W4,1,10030.0,9445.241,4603.0,
2,8,Freeman-5 - 702W4,1,10233.1,9622.911,4661.7,o
3,8,Freeman-5- 702W4,1,10246.2,9634.312,4665.5,o
4,8,Freeman-5 - 702W4,1,10260.2,9646.595,4669.7,o
5,8,Freeman-5 - 702W4,1,10275.0,9659.759,4674.0,o
6,8,Freeman-5 - 702W4,1,10292.4,9674.683,4679.0,o
7,8,Freeman-5 - 702W4,1,10310.0,9690.49,4683.6,o
8,8,Freeman-5 - 702W4,1,10937.0,10247.931,5001.1,
9,8,Freeman-5 - 702W4,1,11036.1,10337.708,5041.2,w
10,8,Freeman-5 - 702W4,1,11039.1,10340.439,5043.1,w
11,8,Freeman-5 - 702W4,1,11046.0,10346.812,5044.7,w
12,8,Freeman-5 - 702W4,1,11052.3,10352.274,5048.3,w
13,8,Freeman-5 - 702W4,1,11089.3,10385.959,5061.5,w
14,8,Freeman-5 - 702W4,1,11094.0,10390.511,5063.4,w
15,8,Freeman-5 - 702W4,1,11100.0,10395.974,5065.7,w
