DEPTH(m),CALI,GR,RESS,RESD,DENSITY,NEUTRON,Depth_ft,PERM
1922.678,12.056,86.73,1.342,1.342,2.105,0.396,6308.0,0.2324
1922.831,12.064,79.598,1.256,1.257,2.105,0.381,6308.5,0.2324
1922.983,12.063,72.18,1.093,1.083,2.092,0.365,6309.0,572.4
1923.136,12.044,68.811,0.988,0.973,2.072,0.373,6309.5,749.911
1923.288,12.023,71.912,0.964,0.953,2.057,0.372,6310.0,927.986
1923.44,12.029,73.837,0.93,0.931,2.05,0.375,6310.5,1019.99
1923.593,12.071,73.915,0.924,0.933,2.05,0.35,6311.0,1020.43
1923.745,12.089,76.56,0.92,0.931,2.052,0.352,6311.5,993.452
1923.898,12.1,81.202,0.94,0.947,2.052,0.406,6312.0,
1924.05,12.182,86.206,0.997,1.001,2.052,0.471,6312.5,
1924.202,12.269,88.393,1.078,1.092,2.055,0.536,6313.0,
1924.355,12.259,90.574,1.13,1.164,2.06,0.58,6313.5,
1924.507,12.199,92.237,1.1,1.139,2.057,0.584,6314.0,
1924.66,12.192,100.428,1.036,1.073,2.043,0.488,6314.5,
1924.812,12.204,101.091,1.005,1.054,2.035,0.503,6315.0,
1924.964,12.229,98.641,0.991,1.063,2.049,0.572,6315.5,
1925.117,12.308,89.558,0.946,1.018,2.082,0.543,6316.0,
1925.269,12.405,91.137,0.881,0.949,2.109,0.523,6316.5,
1925.422,12.427,96.696,0.863,0.926,2.116,0.5,6317.0,
1925.574,12.422,100.967,0.892,0.943,2.112,0.611,6317.5,
1925.726,12.445,100.399,0.928,0.964,2.113,0.566,6318.0,
1925.879,12.493,96.592,0.905,0.931,2.121,0.595,6318.5,
1926.031,12.593,94.594,0.877,0.895,2.123,0.502,6319.0,
1926.184,12.675,95.561,0.848,0.87,2.114,0.468,6319.5,
1926.336,12.703,97.334,0.834,0.862,2.102,0.432,6320.0,
1926.488,12.719,98.79,0.816,0.837,2.095,0.43,6320.5,
1926.641,12.711,99.549,0.813,0.83,2.093,0.426,6321.0,
1926.793,12.653,97.995,0.852,0.872,2.089,0.433,6321.5,
1926.946,12.408,97.17,0.945,0.97,2.08,0.525,6322.0,
1927.098,12.266,96.248,1.075,1.101,2.073,0.564,6322.5,
1927.25,12.614,100.753,1.22,1.227,2.07,0.53,6323.0,
1927.403,12.545,98.787,1.304,1.283,2.071,0.515,6323.5,
1927.555,12.304,93.588,1.374,1.317,2.072,0.498,6324.0,
1927.708,12.267,94.736,1.399,1.318,2.075,0.486,6324.5,
1927.86,12.231,92.061,1.408,1.307,2.079,0.428,6325.0,
1928.012,12.154,93.658,1.417,1.298,2.079,0.447,6325.5,
1928.165,12.149,89.562,1.42,1.286,2.075,0.426,6326.0,
1928.317,12.194,91.837,1.461,1.315,2.073,0.451,6326.5,
1928.47,12.231,92.077,1.55,1.39,2.08,0.46,6327.0,
1928.622,12.205,96.955,1.623,1.454,2.093,0.489,6327.5,
1928.774,12.158,94.3,1.63,1.449,2.099,0.552,6328.0,
1928.927,12.09,95.355,1.591,1.411,2.092,0.576,6328.5,
1929.079,11.951,92.393,1.551,1.381,2.074,0.536,6329.0,
1929.232,11.895,96.831,1.518,1.355,2.057,0.495,6329.5,
1929.384,11.893,93.844,1.493,1.331,2.044,0.507,6330.0,
1929.536,11.843,94.239,1.483,1.321,2.035,0.547,6330.5,
1929.689,11.768,93.008,1.489,1.33,2.031,0.575,6331.0,
1929.841,11.764,98.222,1.5,1.342,2.034,0.53,6331.5,
1929.994,11.991,101.662,1.524,1.358,2.042,0.473,6332.0,
1930.146,12.185,103.036,1.525,1.351,2.048,0.438,6332.5,
1930.298,12.245,99.756,1.5,1.322,2.053,0.433,6333.0,
1930.451,12.24,92.294,1.49,1.316,2.056,0.454,6333.5,
1930.603,12.207,89.285,1.542,1.363,2.05,0.448,6334.0,
1930.756,12.201,90.352,1.627,1.439,2.038,0.449,6334.5,
1930.908,12.209,94.089,1.734,1.537,2.031,0.444,6335.0,
1931.06,12.225,97.642,1.83,1.626,2.04,0.427,6335.5,
1931.213,12.219,95.805,1.865,1.662,2.058,0.46,6336.0,
1931.365,12.205,94.152,1.816,1.625,2.076,0.488,6336.5,
1931.518,12.195,89.41,1.788,1.605,2.093,0.545,6337.0,
1931.67,12.197,92.948,1.79,1.616,2.109,0.515,6337.5,
1931.822,12.248,95.406,1.81,1.65,2.118,0.476,6338.0,
1931.975,12.307,98.652,1.826,1.672,2.116,0.448,6338.5,
1932.127,12.249,99.108,1.82,1.671,2.107,0.433,6339.0,
1932.28,12.147,98.544,1.745,1.6,2.102,0.409,6339.5,
1932.432,12.149,98.642,1.713,1.589,2.102,0.435,6340.0,
1932.584,12.154,97.506,1.812,1.711,2.104,0.441,6340.5,
1932.737,12.087,92.608,1.671,1.588,2.106,0.43,6341.0,0.2324
1932.889,12.019,88.486,1.373,1.296,2.107,0.414,6341.5,0.2324
1933.042,11.994,78.306,1.199,1.14,2.107,0.414,6342.0,0.2324
1933.194,11.984,73.611,1.093,1.043,2.101,0.394,6342.5,0.2324
1933.346,11.978,64.927,1.048,0.994,2.089,0.392,6343.0,0.2324
1933.499,11.975,67.271,0.998,0.942,2.076,0.402,6343.5,0.2324
1933.651,11.973,67.491,1.04,0.983,2.072,0.414,6344.0,0.2324
1933.804,11.981,74.271,1.108,1.042,2.081,0.41,6344.5,0.2324
1933.956,11.982,80.585,1.297,1.229,2.102,0.416,6345.0,0.2324
1934.108,12.002,84.702,1.539,1.475,2.126,0.404,6345.5,0.2324
1934.261,12.028,84.927,1.616,1.571,2.139,0.447,6346.0,0.2324
1934.413,12.008,81.267,1.335,1.29,2.133,0.435,6346.5,0.2324
1934.566,12.01,81.082,1.122,1.068,2.117,0.426,6347.0,0.2324
1934.718,12.037,85.257,1.094,1.037,2.11,0.431,6347.5,0.2324
1934.87,12.058,90.369,1.3,1.24,2.121,0.452,6348.0,0.2324
1935.023,12.079,91.565,1.667,1.619,2.14,0.445,6348.5,0.2324
1935.175,12.172,91.751,1.948,1.883,2.152,0.415,6349.0,0.2324
1935.328,12.274,92.178,2.001,1.895,2.155,0.407,6349.5,0.2324
1935.48,12.288,102.091,2.069,1.935,2.157,0.452,6350.0,0.2324
1935.632,12.253,100.566,2.115,1.973,2.163,0.468,6350.5,0.2324
1935.785,12.177,96.892,2.011,1.858,2.167,0.458,6351.0,0.2324
1935.937,12.147,91.643,1.892,1.741,2.166,0.421,6351.5,0.2324
1936.09,12.149,93.439,1.883,1.75,2.159,0.404,6352.0,0.2324
1936.242,12.114,95.375,1.918,1.806,2.147,0.412,6352.5,0.2324
1936.394,12.06,92.815,1.706,1.618,2.13,0.41,6353.0,0.2324
1936.547,12.033,88.979,1.421,1.335,2.114,0.42,6353.5,0.2324
1936.699,12.0,85.654,1.183,1.102,2.109,0.392,6354.0,0.2324
1936.852,11.954,82.166,1.194,1.119,2.122,0.429,6354.5,0.2324
1937.004,11.952,79.548,1.381,1.319,2.141,0.441,6355.0,0.2324
1937.156,11.962,80.735,1.537,1.477,2.151,0.456,6355.5,0.2324
1937.309,11.962,80.242,1.525,1.456,2.15,0.437,6356.0,0.2324
1937.461,11.955,78.647,1.515,1.456,2.147,0.43,6356.5,0.2324
1937.614,11.948,77.606,1.437,1.397,2.141,0.441,6357.0,0.2324
1937.766,11.944,74.191,1.315,1.297,2.128,0.444,6357.5,0.2324
1937.918,11.941,77.339,1.184,1.183,2.11,0.468,6358.0,0.2324
1938.071,11.949,77.378,1.111,1.121,2.095,0.437,6358.5,0.2324
1938.223,11.975,77.387,1.07,1.087,2.089,0.425,6359.0,0.2324
1938.376,11.998,75.793,1.026,1.043,2.091,0.473,6359.5,0.2324
1938.528,12.008,79.364,1.07,1.089,2.103,0.526,6360.0,0.2324
1938.68,11.996,83.485,1.251,1.302,2.123,0.5,6360.5,0.2324
1938.833,11.979,79.899,1.369,1.465,2.139,0.404,6361.0,0.2324
1938.985,11.966,64.747,1.269,1.361,2.136,0.35,6361.5,305.696
1939.138,11.921,57.032,1.051,1.12,2.113,0.368,6362.0,423.488
1939.29,11.878,52.202,0.879,0.942,2.085,0.359,6362.5,631.362
1939.442,11.867,58.235,0.793,0.848,2.069,0.4,6363.0,782.586
1939.595,11.868,66.488,0.807,0.869,2.072,0.393,6363.5,0.2324
