well,form,sample,core,orient,depth,log depth,tvdss,rho_g,fluid,mud,description,,por_1000,ka_1000,kb_1000,por_3000,ka_3000,kb_3000,por_4500,ka_4500,kb_4500,uni_NOB,iso_NOB,por_1000,por_3000,por_4500,,slope,intercept,por_insitu,porden,,air slope,ka_insitu,brine slope,kb_insitu,,shaly?
Freeman-3,702,1,3,,10211.90,10222.90,9317.37,2.65,oil,obm,"sst, brn - gry, f gr, wl srt, mica, mod cmt",,32.5,6210,5480,31.0,3850,2870,29.5,3000,2210,2769,1717,32.5,31.0,29.5,,0.622690,10.93,1079.78,32.08,,-1.1800,5365,-1.3050,4545,,
Freeman-3,702,2,3,,10212.60,10223.60,9317.93,2.64,oil,obm,"sst, brn - gry, f gr, wl srt, mica, mod cmt",,33.1,6590,5660,31.1,4440,3490,30.4,3870,2830,2769,1717,33.1,31.1,30.4,,0.838307,4.11,1443.36,33.04,,-1.0750,5819,-1.0850,4882,,
Freeman-3,702,3,3,,10213.50,10224.50,9318.48,2.65,oil,obm,"sst, brn - gry, f gr, wl srt, mica, mod cmt",,34.6,7290,6260,32.2,3890,1880,30.7,3040,1050,2770,1717,34.6,32.2,30.7,,1.000000,0.00,1717.20,32.77,,-1.7000,6071,-2.1900,4689,,
Freeman-3,702,4,3,,10214.55,10225.55,9319.04,2.64,oil,obm,"sst, brn - gry, f gr, wl srt, mod cmt",,32.3,5020,3420,31.0,3030,1990,29.4,2510,1590,2770,1718,32.3,31.0,29.4,,0.542236,13.56,944.88,31.87,,-0.9950,4306,-0.7150,2907,,
Freeman-3,702,5,3,,10215.30,10226.30,9319.32,2.64,oil,obm,"sst, brn - gry, f gr, wl srt, pr cmt",,34.8,5640,3230,31.8,3440,1800,30.4,2810,1450,2771,1718,34.8,31.8,30.4,,1.246883,-8.35,2133.45,33.20,,-1.1000,4851,-0.7150,2717,,
Freeman-3,702,6,3,,10216.20,10227.20,9319.87,2.66,oil,obm,"sst, brn - gry, f gr, wl srt, pr cmt",,33.5,5740,3490,31.7,4150,1690,30.6,3570,1290,2771,1718,33.5,31.7,30.6,,0.741722,7.82,1282.14,31.76,,-0.7950,5169,-0.9000,2844,,
Freeman-3,702,7,3,,10218.90,10229.90,9321.26,2.64,oil,obm,"sst, brn - gry, f gr, wl srt, pr cmt",,32.3,6280,3900,32.0,5420,1820,31.7,5190,1440,2772,1719,32.3,32.0,31.7,,0.143219,27.39,273.57,33.78,,-0.4300,5971,-1.0400,3152,,
Freeman-3,702,8,3,,10219.60,10230.60,9321.82,2.65,oil,obm,"sst, brn - gry, f gr, wl srt, pr cmt",,33.5,6170,4550,31.5,4110,2480,30.6,3390,1820,2773,1719,33.5,31.5,30.6,,0.799059,5.77,1379.57,33.99,,-1.0300,5429,-1.0350,3806,,
Freeman-3,702,9,3,,10220.70,10231.70,9322.37,2.66,oil,obm,"sst, brn - gry, f - m gr, mod srt, pr cmt",,32.3,6390,4380,31.1,4060,2550,30.7,3380,2030,2774,1720,32.3,31.1,30.7,,0.508193,14.74,888.63,32.88,,-1.1650,5552,-0.9150,3722,,
Freeman-3,702,10,3,,10222.15,10233.15,9323.21,2.66,oil,obm,"sst, brn, f - m gr, mod srt, pr cmt",,34.0,8150,6630,32.0,4590,3670,30.5,3360,2890,2774,1720,34.0,32.0,30.5,,0.828251,5.33,1430.03,31.97,,-1.7800,6868,-1.4800,5564,,
Freeman-3,702,11,3,,10222.70,10233.70,9323.49,2.65,oil,obm,"sst, brn - gry, f gr, wl srt, mica, pr cmt",,34.0,7030,5050,31.3,3780,2510,30.0,3050,1720,2775,1720,34.0,31.3,30.0,,1.105983,-4.31,1898.31,32.93,,-1.6250,5860,-1.2700,4135,,
