Depth,GR,Log_ILD,DT,RHOB,NPHI,PHI,PERM,velocity,GRI,vshale,PHIeff,formation_factor,swirr,permeability,Facies_code
5747.0,50.0686,0.0938,137.0,2.6342,0.562,0.0102,81.0975276504025,7299.270072992701,0.2225,0.06385915881316437,0.001642872719035975,11854.993500439989,2.434645097384831,307.63486625146953,0
5747.5,50.6811,0.1975,130.4,2.3044,0.5091,0.223,1293.2922776030707,7668.711656441717,0.2297,0.0665961702205523,0.214076113190446,15.614793094724257,0.08835947344434625,1626.0649316209822,0
5748.0,53.6817,0.9398,109.2,2.1121,0.5849,0.347,6493.991919396036,9157.509157509157,0.2647,0.08064542179458806,0.3361935134795252,6.035083992294761,0.05493215812388387,3502.846247710961,0
5748.5,58.954,0.7118,106.9,2.0211,0.6879,0.4057,13940.18541661678,9354.536950420954,0.3262,0.10860341058026153,0.39114714298224496,4.312716624706623,0.04643660530608705,4676.0353191553295,0
5749.0,66.5252,0.442,102.1,1.9073,0.6982,0.4792,36280.31299317708,9794.31929480901,0.4145,0.15729943253701034,0.4581218760400406,3.0149530208373583,0.03882623482155692,6403.011585232653,0
5749.5,71.9864,0.4639,108.5,1.7673,0.6073,0.5695,117495.87964405406,9216.589861751152,0.4782,0.1999453134417593,0.5427073279988043,2.0800806472148574,0.03224965617812737,8917.453055943328,0
5750.0,73.5985,0.4781,112.6,1.6817,0.6023,0.6247,240989.64014326243,8880.994671403198,0.497,0.2139218456245095,0.5960344726863157,1.704896235082982,0.02919671415658774,10667.772685236663,0
5750.5,70.2409,0.5783,108.0,1.7051,0.6389,0.6096,197996.35010041445,9259.25925925926,0.4579,0.1855914241223449,0.5847307491676058,1.7969873880988396,0.02997488438759055,10172.894147740748,0
5751.0,67.787,0.7377,103.95,1.8337,0.5681,0.5266,67230.01889873164,9620.00962000962,0.4292,0.16653172375140485,0.5042847490173117,2.46154540886311,0.03508237027955145,7668.892839234246,0
5751.5,64.5058,0.8223,103.3,1.9693,0.6596,0.4392,21557.661635911205,9680.542110358181,0.391,0.14324458167888982,0.42000522605502877,3.6363667404852857,0.04264016147064458,5427.581596232568,0
5752.0,66.8394,0.7461,102.6,1.9825,0.4478,0.4306,19275.10425053838,9746.588693957116,0.4182,0.15959053142290902,0.40921486878933017,3.7943075911211546,0.04355632899545802,5228.961607158591,0
5752.5,67.224,0.6503,108.3,1.854,0.5943,0.5135,56692.48754726011,9233.610341643584,0.4227,0.16240646255758634,0.4917375340172834,2.598541914817924,0.0360454013351074,7307.109150321537,0
5753.0,74.6025,0.6298,104.4,1.7136,0.6313,0.6041,184320.07800723327,9578.544061302682,0.5088,0.2230448818873743,0.5742119858270918,1.8323468785357586,0.030268357062580707,9995.64868744745,0
5753.5,73.1492,0.6655,93.65,1.6907,0.702,0.6189,223469.52915110867,10678.056593699946,0.4918,0.20998833805776115,0.59076156270026,1.739432786072844,0.029490954427356567,10476.254688514655,0
5754.0,68.1026,0.7021,87.2,1.766,0.5597,0.5703,118725.50471150588,11467.88990825688,0.4329,0.16891084653270877,0.5476659465646171,2.0738122741890876,0.032201026957141346,8941.66447663889,0
5754.5,55.9883,0.7512,88.55,1.845,0.544,0.5194,61216.817215268165,11293.054771315641,0.2916,0.09233369097455213,0.50702728540941,2.53549353264264,0.035605431696881865,7468.921982747332,0
5755.0,60.3373,0.8103,98.0,1.885,0.5954,0.4935,43700.944794201605,10204.081632653062,0.3423,0.11668047089921227,0.47786481689950555,2.8302467602554633,0.037618125686000516,6772.344805954517,0
5755.5,69.6905,0.8313,100.4,1.8894,0.643,0.4907,42137.22877723577,9960.1593625498,0.4514,0.18115106775295517,0.46642575692110405,2.865082716740264,0.037848928100675874,6699.172851191158,0
5756.0,78.3202,0.8487,100.45,1.875,0.6079,0.5,47558.38514096777,9955.201592832254,0.5521,0.2589897869266184,0.4652953685518331,2.7517322907282553,0.03709266969852841,6943.813315449624,1
5756.5,82.8544,0.9141,102.5,1.8406,0.5522,0.5222,63488.57832450609,9756.09756097561,0.605,0.3086821117860648,0.48083659702066733,2.5063540762624275,0.03540024065075284,7546.3613108808495,2
5757.0,77.0706,1.0139,103.05,1.8387,0.4606,0.5234,64487.81814107344,9704.02717127608,0.5375,0.2464211631118182,0.4903795641430163,2.4940157693730596,0.035312998806197836,7579.677042172778,1
5757.5,77.7754,1.2027,101.4,1.8916,0.4535,0.4893,41376.48006222253,9861.932938856015,0.5458,0.2535085687334545,0.4553298517897171,2.8827366899850615,0.037965357169300155,6662.742997068097,1
5758.0,72.9894,1.4675,100.8,1.9621,0.466,0.4438,22887.56702241961,9920.63492063492,0.4899,0.20856413002941182,0.41585240657605876,3.55581370122251,0.0421652327233143,5535.432399408822,0
5758.5,76.7209,1.4495,99.1,2.002,0.5193,0.4181,16381.363835419286,10090.817356205853,0.5335,0.24305904508623377,0.3855300879584447,4.042400409873575,0.04495776023042949,4947.272702658811,1
5759.0,74.6218,1.2906,99.1,2.0108,0.4741,0.4124,15210.208608183528,10090.817356205853,0.509,0.22320190142264523,0.38249094520936555,4.16348091067866,0.045626094017999504,4821.577004998286,0
5759.5,75.3529,1.2443,99.65,2.019,0.5231,0.4071,14196.48991924223,10035.122930255895,0.5175,0.22995023108331755,0.3762866690348355,4.280892472740343,0.04626495689363788,4706.25000355844,0
5760.0,77.0051,1.2984,101.9,2.0375,0.4688,0.3952,12159.76941768083,9813.542688910697,0.5368,0.24583029990684105,0.3622587398124833,4.562840390396951,0.04776421458789494,4452.742777041468,1
5760.5,80.5934,1.3873,102.9,2.051,0.4977,0.3865,10858.135344689776,9718.172983479106,0.5786,0.2830404897017302,0.34857257437996814,4.786524302104618,0.048920978639560235,4272.164089446874,2
5761.0,79.0965,1.3927,103.2,2.0396,0.4965,0.3938,11940.236021019577,9689.922480620155,0.5612,0.2670651007739544,0.3580132764962901,4.597787647132687,0.04794678115959761,4423.4127832857985,1
5761.5,85.7529,1.2593,102.2,2.0025,0.4909,0.4177,16296.313188718772,9784.735812133073,0.6388,0.34415013595470534,0.37158388178206947,4.050727866672918,0.04500404352207098,4938.395662994307,2
