DEPT,DEN,DT,GR,NEU,RES_DEP,PHI,PERM
5633.5,,,12.1597,,,,
5634.0,,,44.075,,,,
5634.5,,,44.075,,,,
5635.0,,,44.075,,,,
5635.5,,,43.7159,,,,
5636.0,,,43.6854,,,,
5636.5,,,43.834,,,,
5637.0,,,43.6964,,,,
5637.5,,,44.309,,,,
5638.0,,,44.4698,,,,
5638.5,,,44.4805,,,,
5639.0,,,44.4521,,,,
5639.5,,,44.3126,,,,
5640.0,,,44.5428,,,,
5640.5,,,44.7505,,,,
5641.0,,,45.0938,,,,
5641.5,,,45.2632,,,,
5642.0,,,45.3546,,,,
5642.5,,,45.4111,,,,
5643.0,,,45.3944,,,,
5643.5,,,45.2133,,,,
5644.0,,,45.1119,,,,
5644.5,,,45.1275,,,,
5645.0,,,45.0712,,,,
5645.5,,,45.7358,,,,
5646.0,,,46.4127,,,,
5646.5,,,46.5272,,,,
5647.0,,,46.598,,,,
5647.5,,,46.5972,,,,
5648.0,,,46.2861,,,,
5648.5,,,45.8553,,,,
5649.0,,,45.406,,,,
5649.5,,,45.3734,,,,
5650.0,,,45.8394,,,,
5650.5,,,46.1858,,,,
5651.0,,,46.0937,,,,
5651.5,,,45.7927,,,,
5652.0,,,45.4124,,,,
5652.5,,,45.5321,,,,
5653.0,,,45.4661,,,,
5653.5,,,45.4316,,,,
5654.0,,,45.5389,,,,
5654.5,,,45.7371,,,,
5655.0,,,45.7409,,,,
5655.5,,,45.751,,,,
5656.0,,,45.7422,,,,
5656.5,,,45.6928,,,,
5657.0,,,45.6505,,,,
5657.5,,,45.6497,,,,
5658.0,,,45.5759,,,,
5658.5,,,45.8985,,,,
5659.0,,,46.3429,,,,
5659.5,,,46.6102,,,,
5660.0,,,46.7742,,,,
5660.5,,,46.9337,,,,
5661.0,,,46.9345,,,,
5661.5,,,46.9569,,,,
5662.0,,,46.9417,,,,
5662.5,,,46.9345,,,,
5663.0,,,46.9453,,,,
5663.5,,,46.9573,,,,
5664.0,,,46.9585,,,,
5664.5,,,46.9573,,,,
5665.0,,,46.9477,,,,
5665.5,,,46.9429,,,,
5666.0,,,46.9345,,,,
