DEPT,DEN,DT,GR,NEUT,RES_DEP,Facies,velocity
7564.5,2.2382,137.507,,,,none,7272.357043641415
7565.0,2.2382,137.507,,,,none,7272.357043641415
7565.5,2.2382,137.507,,,,none,7272.357043641415
7566.0,2.2382,137.507,,,,none,7272.357043641415
7566.5,2.2382,137.507,,,,none,7272.357043641415
7567.0,2.2382,137.507,,,,none,7272.357043641415
7567.5,2.2382,137.507,,,,none,7272.357043641415
7568.0,2.2382,137.507,,,,none,7272.357043641415
7568.5,2.2382,137.507,,,,none,7272.357043641415
7569.0,2.2382,137.507,,,,none,7272.357043641415
7569.5,2.2382,137.507,,,,none,7272.357043641415
7570.0,2.2382,137.507,,,,none,7272.357043641415
7570.5,2.2382,137.507,,,,none,7272.357043641415
7571.0,2.2382,137.507,,,,none,7272.357043641415
7571.5,2.2382,137.507,,,,none,7272.357043641415
7572.0,2.2382,137.507,,,,none,7272.357043641415
7572.5,2.2382,137.507,,,,none,7272.357043641415
7573.0,2.2382,137.507,,,,none,7272.357043641415
7573.5,2.2382,137.507,,,,none,7272.357043641415
7574.0,2.2382,137.507,,,,none,7272.357043641415
7574.5,2.2382,137.507,,,,none,7272.357043641415
7575.0,2.2382,137.507,,,,none,7272.357043641415
7575.5,2.2382,137.507,,,,none,7272.357043641415
7576.0,2.2382,137.507,,,,none,7272.357043641415
7576.5,2.2382,137.507,,,,none,7272.357043641415
7577.0,2.2382,137.507,,,,none,7272.357043641415
7577.5,2.2382,137.507,,,,none,7272.357043641415
7578.0,2.2382,137.507,,,,none,7272.357043641415
7578.5,2.2382,137.507,,,,none,7272.357043641415
7579.0,2.2382,137.507,,,,none,7272.357043641415
7579.5,2.2382,137.507,,,,none,7272.357043641415
7580.0,2.2382,137.507,,,,none,7272.357043641415
7580.5,2.2382,137.507,,,,none,7272.357043641415
7581.0,2.2382,137.507,,,,none,7272.357043641415
7581.5,2.2382,137.507,,,,none,7272.357043641415
7582.0,2.2382,137.507,,,,none,7272.357043641415
7582.5,2.2382,137.507,,,,none,7272.357043641415
7583.0,2.2382,137.507,,,,none,7272.357043641415
7583.5,2.2382,137.507,,,,none,7272.357043641415
7584.0,2.2382,137.507,,,,none,7272.357043641415
7584.5,2.2382,137.507,,,,none,7272.357043641415
7585.0,2.2382,137.507,,,,none,7272.357043641415
7585.5,2.2382,137.507,,,,none,7272.357043641415
7586.0,2.2382,137.507,,,,none,7272.357043641415
7586.5,2.2382,137.507,,,,none,7272.357043641415
7587.0,2.2382,137.507,,,,none,7272.357043641415
7587.5,2.2382,137.507,,,,none,7272.357043641415
7588.0,2.2382,137.507,,,,none,7272.357043641415
7588.5,2.2382,137.507,,,,none,7272.357043641415
7589.0,2.2382,137.507,,,,none,7272.357043641415
7589.5,2.2382,137.507,,,,none,7272.357043641415
7590.0,2.2382,137.507,,,,none,7272.357043641415
7590.5,2.2382,137.507,,,,none,7272.357043641415
7591.0,2.2382,137.507,,,,none,7272.357043641415
7591.5,2.2382,137.507,,,,none,7272.357043641415
7592.0,2.2382,137.507,,,,none,7272.357043641415
7592.5,2.2382,137.507,,,,none,7272.357043641415
7593.0,2.2382,137.507,,,,none,7272.357043641415
7593.5,2.2382,137.507,,,,none,7272.357043641415
7594.0,2.2382,137.507,,,,none,7272.357043641415
7594.5,2.2382,137.507,,,,none,7272.357043641415
7595.0,2.2382,137.507,,,,none,7272.357043641415
7595.5,2.2382,137.507,,,,none,7272.357043641415
7596.0,2.2382,137.507,,,,none,7272.357043641415
7596.5,2.2382,137.507,,,,none,7272.357043641415
7597.0,2.2382,137.507,,,,none,7272.357043641415
7597.5,2.2382,137.507,,,,none,7272.357043641415
7598.0,2.2382,137.507,,,,none,7272.357043641415
7598.5,2.2382,137.507,,,,none,7272.357043641415
7599.0,2.2382,137.507,,,,none,7272.357043641415
7599.5,2.2382,137.507,,,,none,7272.357043641415
7600.0,2.2382,137.507,,,,none,7272.357043641415
7600.5,2.2382,137.507,,,,none,7272.357043641415
7601.0,2.2382,137.507,,,,none,7272.357043641415
7601.5,2.2382,137.507,,,,none,7272.357043641415
7602.0,2.2382,137.507,,,,none,7272.357043641415
7602.5,2.2382,137.507,,,,none,7272.357043641415
7603.0,2.2382,137.507,,,,none,7272.357043641415
7603.5,2.2382,137.507,,,,none,7272.357043641415
7604.0,2.2382,137.507,,,,none,7272.357043641415
7604.5,2.2382,137.507,,,,none,7272.357043641415
7605.0,2.2382,137.507,,,,none,7272.357043641415
7605.5,2.2382,137.507,,,,none,7272.357043641415
7606.0,2.2382,137.507,,,,none,7272.357043641415
7606.5,2.2382,137.507,,,,none,7272.357043641415
7607.0,2.2382,137.507,,,,none,7272.357043641415
7607.5,2.2382,137.507,,,,none,7272.357043641415
7608.0,2.2382,137.507,,,,none,7272.357043641415
7608.5,2.2382,137.507,,,,none,7272.357043641415
7609.0,2.2382,137.507,,,,none,7272.357043641415
