Depth,Log_ILD,NPHI,RHOB,vshale,Facies,velocity,Actual Permeability,rf_Permeability,dt_Permeability,gb_Permeability,nn_pore pressure
10308.0,0.8714,0.164,2.354,117.4186,2,6102.977,4534759.588397649,4533346.005687112,4532629.2823670665,4529490.4253532095,4681970.064249049
10764.0,1.3611,0.1247,2.413,107.9883,2,6762.4434,5170676.265585281,5170505.8483371,5170579.558808848,5168760.484218196,5062914.697359566
11035.0,0.9329,0.1207,2.4189,123.6542,2,6397.1996,4905188.005652167,4903595.797447327,4903929.456159101,4898745.494196743,4950146.662944992
8445.5,1.5825,0.0379,2.216,60.431,0,6070.842,4915813.433427128,4915640.981027833,4915713.492256432,4914518.283518734,4314421.333121399
8487.5,1.4668,0.2075,2.2888,91.5867,2,6000.6431,4310037.9991242075,4313503.757541279,4310037.9991242075,4287719.24668779,4295888.912585734
8320.0,1.265,0.2338,2.2493,94.8777,2,5621.5733,3950855.484293095,3953753.605385325,3947447.26240644,3958225.255831067,4094010.002077708
9174.0,0.8289,0.1864,2.3204,111.4842,2,5537.3104,4044463.86240537,4042860.0874634776,4040121.5013579368,4045337.518486826,4216002.781959999
8280.5,1.1522,0.2001,2.2998,97.3247,2,5736.7791,4145089.6261426494,4144241.434296248,4145664.9767701915,4143075.203827849,4139259.841263382
10635.5,1.2591,0.1291,2.4064,130.066,2,6710.2191,5114782.822910053,5117689.180977234,5115471.670800149,5121372.188579254,5019243.209422468
11249.5,1.0231,0.1648,2.3528,120.0374,2,6424.2488,4770605.6917239465,4773502.711422338,4770605.6917239465,4770086.583554363,5001325.503627746
8494.5,1.7417,0.1942,2.0347,38.9264,0,5320.837,3862616.455234168,3857063.7304228772,3861851.47107934,3864170.6357226204,3980518.2177716345
10196.0,1.2645,0.1623,2.3565,120.6291,2,6487.1765,4826391.077239691,4828519.7686271295,4838694.085338848,4819295.5175719345,4835743.686562772
9231.5,0.9777,0.1684,2.3474,114.8237,2,5942.8529,4401145.785775289,4403250.015713037,4404976.077386927,4406531.596901092,4410677.551392608
8457.5,1.5803,0.0351,2.2193,57.4379,0,6047.4312,4905328.161427611,4905272.361712049,4905328.161427611,4905198.795936904,4305544.342234761
11347.5,0.9421,0.1343,2.3986,162.1151,2,6351.5571,4823466.168823392,4823466.168823395,4823526.335713081,4823018.870907547,4993456.805643397
8774.5,0.8446,0.1929,2.3106,82.5442,2,5465.2851,3971552.388727959,3971474.7754443716,3970953.197325668,3971926.9805335486,4104987.775355066
10569.0,1.4793,0.1298,2.4053,119.5112,2,6660.2252,5074149.483522713,5074285.679542962,5065091.497457254,5077982.929410004,4982636.3157221
10291.5,1.4347,0.1342,2.3987,127.1482,2,7030.3341,5339321.959120031,5339834.985767971,5323844.96232088,5342298.049416126,5100222.909305332
11236.0,0.9737,0.1581,2.3629,118.7179,2,6371.1177,4754941.49309347,4755312.147704112,4755302.808479054,4762208.966215607,4974573.540001477
9505.5,1.4255,0.1659,2.3512,115.5658,2,6505.4394,4826895.216935904,4827845.413242672,4821720.27841003,4832527.662717679,4715913.583253621
9646.5,1.0448,0.1526,2.3711,113.5586,2,6121.0343,4586959.11750482,4586858.220053242,4588058.608915277,4586713.439463591,4567594.348362879
7878.5,1.0934,0.2024,2.2964,107.63,2,5427.4594,3914382.027121156,3916288.9136600024,3914382.027121156,3919856.906888012,3926897.826304799
9814.5,1.3446,0.1463,2.3805,110.4537,2,6849.8718,5156929.8122923365,5156063.357161649,5160289.136382591,5156634.763352277,4927872.336700265
10715.0,1.5966,0.1303,2.4045,113.3359,2,6825.1245,5197929.422299856,5197227.526985458,5194023.065154989,5199663.294306869,5083151.616213067
10230.5,1.092,0.1307,2.4039,113.9865,2,6368.1283,4848505.4265818,4847403.427026108,4847881.491208159,4851679.019644183,4787122.715020946
9477.0,1.302,0.1393,2.3911,115.0986,2,6478.4752,4902185.0326299835,4903624.168662721,4901134.712643374,4908433.07948856,4698374.615609174
9795.5,2.0539,0.2939,2.1592,79.4156,1,6825.5527,4546047.1870495025,4584869.283689306,4489706.290579546,4544274.54019336,4908117.269271704
8925.5,0.9318,0.2101,2.2848,102.4126,2,5469.6902,3920404.432774504,3919824.024541722,3920656.972558168,3929988.2477399907,4138106.6280563995
11189.0,0.9252,0.1042,2.4437,114.4737,2,6347.4747,4922973.568490199,4912946.970683516,4936620.080580697,4934924.996165322,4954512.713364279
10501.0,1.2154,0.1308,2.4038,119.9902,2,6575.7434,5006220.721205095,5005873.84089224,5005502.192584765,5003605.829616102,4931930.622030978
9358.0,0.8442,0.1841,2.3238,108.4353,2,5779.0559,4228602.313365468,4229580.705924503,4230326.832074625,4225694.713447527,4358803.8746020775
9882.0,0.9628,0.1351,2.3974,111.1312,2,6311.1431,4790026.915296386,4789938.594925692,4790005.5017121,4793433.865298501,4696618.356013414
10610.0,2.9775,0.2118,2.2823,129.0947,2,6281.1057,4495765.556388774,4506252.799056099,4504170.016236909,4506365.967477995,4820348.867060159
10238.0,1.2018,0.1397,2.3904,110.7543,2,6351.7396,4804896.918776422,4804780.075400761,4805603.010914764,4807797.709901859,4780562.693541054
8514.0,0.8023,0.1703,2.3446,105.3221,2,5313.9793,3929749.077059495,3929522.584440822,3947175.995132288,3927151.4019650486,3992277.019904999
10679.5,1.839,0.1369,2.3947,109.6255,2,6788.6465,5145783.094284274,5145436.3022273695,5148786.122772338,5144282.101526074,5059508.528248885
9158.0,0.8119,0.1925,2.3112,107.5641,2,5598.3936,4069564.052276329,4068422.9539685934,4068688.8880526535,4064768.8213351844,4240042.777972013
10296.5,1.2175,0.1533,2.3701,112.5455,2,6825.7635,5112423.635732411,5114132.7776658265,5114700.563606511,5110593.627069953,5006137.419867842
11320.0,0.9153,0.1343,2.3986,162.1151,2,6317.5655,4797652.4400184825,4797295.625123268,4798210.862891355,4796539.254070268,4973004.533101971
9672.0,3.314,0.126,2.1138,45.9838,0,6500.3381,4965703.906377666,4963397.531392458,4965059.688981019,4970675.806715407,4732586.809289312
8826.5,0.6454,0.1999,2.3002,114.0611,2,5674.4405,4100701.8234768757,4101635.786439122,4100052.0657319757,4091591.121998587,4214413.186752946
10737.0,2.107,0.1444,2.3834,123.4869,2,6623.2624,4993241.2179023465,4994520.943158063,4998003.03568651,4982349.599439185,4997587.128998698
8477.0,1.4985,0.005,2.2542,68.5062,0,6009.767,4964041.592461584,4932806.306642893,4931323.331604892,4961459.5683242865,4293922.336962015
10020.0,1.6733,0.1495,2.3757,117.4848,2,6982.8741,5244755.475488357,5247600.459920096,5252783.017391787,5232772.032526623,5027125.175397141
9408.0,1.1616,0.1366,2.3951,130.431,2,6374.6673,4833030.351920726,4833092.592358749,4831537.507486641,4823426.268192455,4641209.379319138
10887.0,1.7624,0.1057,2.4415,124.7923,2,7176.1846,5559994.944195682,5558377.21149147,5558993.156181755,5555720.234434953,5275623.043552806
10169.5,1.2459,0.1614,2.3579,119.1354,2,6472.2963,4818567.990369074,4816652.745436437,4816940.887792049,4799704.1214363305,4823877.269811248
10323.0,0.8372,0.1314,2.4029,125.1824,2,6464.9763,4919787.142269384,4919170.42028314,4922152.073048544,4919056.662537655,4849826.183138181
11000.0,0.752,0.1031,2.4454,102.0116,2,6313.2448,4900104.759674494,4899722.530661498,4902540.911941595,4906252.7496705,4902110.24201304
10440.5,1.0722,0.1489,2.3766,124.6116,2,6450.0034,4846656.111220096,4847582.620900552,4845882.0163744455,4851102.403708146,4864631.921543718
8176.5,0.9019,0.2261,2.2609,111.6602,2,5216.0673,3689675.5060389563,3689360.930978105,3689358.847465526,3689552.069130259,3886815.6775415344
8200.0,1.213,0.1906,2.3141,111.4631,2,5784.4452,4211100.380759002,4212073.853358098,4211100.380759002,4208582.477366705,4148338.198272013
8580.5,1.1612,0.1771,2.3343,103.4392,2,5852.2346,4305372.726991133,4304862.889327559,4305217.429566748,4311117.472275154,4247814.113645106
9207.5,0.7426,0.1965,2.3053,110.6317,2,5437.6475,3940229.087655872,3940107.3194877957,3939172.0787033695,3943015.177680262,4176929.723675107
8530.5,0.9153,0.1806,2.3291,107.7282,2,5576.4024,4091400.761225411,4091895.5280828374,4090417.7773886714,4085383.8578984584,4114471.736086586
11110.0,1.0259,0.1258,2.4113,107.1167,2,6283.9413,4801074.059871531,4801096.866031801,4800141.173244044,4792199.601256359,4909991.172849602
10265.0,1.2472,0.1527,2.371,112.2439,2,6894.0023,5165821.884649823,5165904.821157164,5170449.711390088,5165081.059211015,5031162.369873905
8689.5,0.8881,0.1783,2.3325,110.0582,2,5477.1341,4025702.2343758666,4025345.202301716,4021236.6270330525,4017052.0832947115,4099242.453442497
8977.0,1.2226,0.1835,2.3248,97.8806,2,5499.6009,4025997.9506700416,4025170.017263452,4023319.0100813303,4023630.8978071418,4160412.636811305
10273.0,1.3807,0.1433,2.385,121.4169,2,6556.4945,4946862.71505254,4946323.23214017,4948032.572215088,4941468.146569306,4881445.619213192
9155.0,0.8227,0.1688,2.3468,116.4441,2,5666.5917,4195281.538160373,4195308.663741148,4195453.769138806,4191779.4151911377,4271823.462232381
9577.5,1.2176,0.1557,2.3665,109.3487,2,6384.9765,4773790.842981651,4774102.767045387,4774176.3090154715,4781687.909483891,4673628.724709242
9614.0,1.3265,0.1344,2.3984,125.7598,2,6514.8075,4947086.427834714,4946329.267579476,4947955.291216546,4934888.286379559,4741833.618966498
7987.0,0.8763,0.2486,2.2271,117.7275,2,5112.5774,3547808.1063709515,3547985.0392441927,3547903.2715043393,3550439.081141652,3806057.5755696287
11216.0,0.96,0.1273,2.409,120.2046,2,6476.345,4942824.599460608,4943476.55373042,4940092.80566986,4947232.8294228185,5018751.669109355
8228.0,0.8912,0.2062,2.2907,97.7975,2,5264.9954,3785622.889371659,3788800.193060153,3785495.075316675,3788479.7751287646,3916155.143912572
