Depth,GR,Log_ILD,RHOB,NPHI,PHI
6261.0,101.273,1.1434,2.0029,0.577,0.3981
7480.5,84.836,0.9179,2.1987,0.7295,0.2675
7759.5,38.3523,0.9332,2.2382,0.6159,0.0188
7605.5,87.8605,0.7006,2.1654,0.6087,0.2897
7411.0,103.55,1.0392,2.2345,0.5987,0.2437
6538.0,35.4,1.4375,2.1068,0.5166,0.1321
11624.0,154.351,1.618,2.431,0.39,0.1127
7079.5,76.3595,0.932,2.0931,0.6248,0.3379
6002.5,110.036,1.5368,2.0909,0.4767,0.3394
8118.5,46.6216,1.8422,2.0885,0.3708,0.1478
7827.5,70.9985,0.9332,2.2382,0.4524,0.0188
7106.5,81.2761,0.9263,2.1076,0.5701,0.3283
6913.5,74.895,1.073,2.103,0.371,0.1353
9675.5,110.18,1.1698,2.3696,0.461,0.1536
6640.0,86.7427,1.1254,2.1186,0.573,0.3209
6662.0,93.8797,1.4503,2.1781,0.7071,0.2813
8056.5,103.705,1.1269,2.212,0.4832,0.2587
7784.5,90.5424,1.1281,2.2696,0.523,0.2203
9484.0,101.023,1.1407,2.3645,0.4596,0.157
9091.0,96.8591,0.8192,2.3072,0.4404,0.1952
7534.5,77.4733,1.0571,2.0877,0.4697,0.3415
5922.0,62.2883,1.1685,2.0612,0.389,0.1714
7049.0,70.891,2.366,2.135,0.368,0.1078
7495.0,78.3564,0.9542,2.1465,0.5101,0.3023
9670.5,106.154,1.2523,2.3595,0.4723,0.1603
7206.5,76.2603,1.0273,2.1646,0.6871,0.2903
5838.5,107.077,1.1433,2.1154,0.3904,0.3231
11429.0,145.623,2.355,2.358,0.268,0.1613
6258.5,108.16,1.2238,1.9712,0.5457,0.4192
6381.0,81.417,2.434,2.227,0.389,0.2487
9217.0,82.4638,1.2071,2.3289,0.7357,0.1807
11393.5,154.822,1.83,2.456,0.364,0.096
6845.5,61.5828,1.0994,2.0223,0.3731,0.2049
8061.0,96.5278,1.2139,2.1597,0.5227,0.2935
6913.0,29.2606,1.1858,1.8362,0.6646,0.3653
6215.0,112.567,1.655,2.1058,0.4449,0.3295
9292.5,105.315,1.4325,2.3387,0.4115,0.1742
7327.5,100.79,1.3386,2.2226,0.5542,0.2516
7278.0,83.1781,0.8764,2.1168,0.5438,0.3221
7992.0,101.28,1.0902,2.2509,0.4315,0.2327
8853.0,92.8528,0.8854,2.2766,0.5452,0.2156
7768.5,88.2145,0.8793,2.2158,0.4519,0.2561
6325.5,104.22,1.6446,2.1165,0.4361,0.3223
9389.0,120.643,1.385,2.268,0.418,0.2213
6100.0,115.919,0.8564,2.0737,0.7368,0.3509
8811.0,95.412,0.9946,2.2769,0.5837,0.2154
7083.5,77.6376,0.932,2.1076,0.4292,0.3283
7458.0,89.557,0.9871,2.1781,0.5067,0.2813
6346.5,81.267,1.29,2.133,0.435,0.3113
6078.0,113.074,1.6674,2.1126,0.45,0.3249
8365.5,89.5055,0.7925,2.2715,0.5425,0.219
8464.0,81.0247,0.8534,2.2749,0.6193,0.2167
5755.5,69.6905,0.8313,1.8894,0.643,0.3195
6601.0,93.4951,1.2147,2.0835,0.5748,0.3443
9022.5,103.436,0.7491,2.276,0.488,0.216
7773.0,85.7793,0.937,2.2193,0.5002,0.2538
8107.5,80.6145,1.1767,2.1356,0.4105,0.3096
7557.0,89.5327,1.1616,2.2127,0.6457,0.2582
9649.0,103.099,1.0797,2.3669,0.453,0.1554
6717.0,87.1636,1.1561,2.1618,0.6019,0.2921
9668.0,44.7042,3.6476,2.1908,0.2846,0.0597
6518.0,38.0471,1.4552,2.1075,0.5166,0.1315
7048.0,83.41,1.811,2.167,0.465,0.2887
6146.0,106.271,1.1909,2.0663,0.4738,0.3558
8498.0,75.5624,0.8387,2.2424,0.7256,0.2384
9022.0,100.061,0.7321,2.2792,0.4884,0.2139
6109.5,106.605,1.1199,2.035,0.467,0.3767
6413.5,115.343,1.5956,2.1042,0.4219,0.3305
6922.0,23.4674,1.3104,2.0214,0.5003,0.2057
10760.5,50.7031,6.9527,2.1923,0.1187,0.0584
7459.5,76.7313,1.0051,2.1782,0.5609,0.2812
6254.0,102.808,0.9806,2.0153,0.8802,0.3898
7473.0,85.1038,0.958,2.1811,0.4801,0.2793
7734.0,87.3062,0.9879,2.2176,0.495,0.2549
8278.5,92.9521,1.2683,2.2959,0.3901,0.2027
6245.5,100.14,1.2874,2.0019,0.5316,0.3987
7199.0,76.5966,0.8886,2.1183,0.7107,0.3211
7804.0,83.6557,1.1325,2.3324,0.3604,0.1784
6410.5,111.645,1.5985,2.1268,0.5861,0.3155
9168.5,93.1334,1.0369,2.2906,0.5438,0.2063
6882.5,93.131,1.273,2.141,0.44,0.306
5902.5,78.9339,1.3716,2.0381,0.4661,0.3746
8449.0,86.9213,0.7543,2.2181,0.4946,0.2546
8299.5,84.107,0.7868,2.2719,0.5833,0.2187
6306.0,110.333,1.5317,2.0805,0.4464,0.3463
5854.5,62.5833,1.7934,2.0501,0.3641,0.1809
8538.5,78.2067,0.7578,2.2013,1.0273,0.2658
8509.5,84.4181,0.8112,2.2232,0.7195,0.2512
9492.0,93.8855,1.0045,2.3094,0.5137,0.1937
8692.5,87.4743,0.767,2.204,0.6658,0.264
8428.0,92.4553,0.8473,2.2246,0.6965,0.2503
9578.0,83.7863,0.7608,2.3058,0.5483,0.1961
8954.0,93.118,0.8888,2.277,0.4561,0.2153
8562.5,92.4953,0.8225,2.225,0.5258,0.25
11143.5,169.559,1.021,2.373,0.457,0.1513
5808.5,79.0179,1.1686,1.347,0.9061,0.8353
6293.0,106.044,1.258,2.0322,0.7228,0.3785
8933.0,97.6777,1.0405,2.302,0.4347,0.1987
7142.5,71.4952,0.9672,2.1448,0.7781,0.0993
7711.0,39.0321,0.9332,2.2382,0.5983,0.0188
8041.5,111.47,1.2156,2.2285,0.4468,0.2477
6124.5,98.0847,1.3062,2.0141,0.5175,0.3906
9085.0,94.7019,0.9151,2.3063,0.4635,0.1958
5774.0,81.7653,1.4209,1.9968,0.5534,0.4021
6426.0,113.288,1.3826,2.0585,0.5166,0.361
7894.5,85.9756,0.7928,2.2136,0.4434,0.2576
7702.5,74.6466,0.934,2.1629,1.087,0.0837
6188.5,108.384,1.3241,2.0301,0.4842,0.3799
6854.5,45.2676,1.0752,2.0152,0.3812,0.211
6209.5,103.262,1.2502,2.0272,0.5125,0.3819
9157.0,120.626,1.597,2.297,0.403,0.202
11146.0,156.895,1.002,2.321,0.43,0.186
7282.5,75.5656,0.8817,2.1217,0.5187,0.3189
8065.5,93.0046,1.2214,2.1065,0.4369,0.329
9041.5,98.5226,0.8612,2.3473,1.0214,0.1685
8296.0,102.583,0.981,2.3163,0.7603,0.1891
6851.0,63.6009,1.1326,2.0263,0.5523,0.2015
11237.5,160.385,1.476,2.449,0.354,0.1007
7625.0,89.0764,0.9381,2.1986,0.6886,0.2676
6150.5,103.004,1.2482,2.0544,0.7087,0.3637
7582.5,44.381,12.803,2.101,0.336,0.1371
6572.5,81.9291,1.0579,1.4367,1.3998,0.7755
9571.5,96.3579,1.0671,2.3043,0.446,0.1971
