DEPTH(m),CALI,GR,RESD,RESM,DENSITY,NEUTRON,DTC,DTS
2305.66,2.238,137.507,,,,,,
2305.812,2.238,137.507,,,,,,
2305.964,2.238,137.507,,,,,,
2306.117,2.238,137.507,,,,,,
2306.269,2.238,137.507,,,,,,
2306.422,2.238,137.507,,,,,,
2306.574,2.238,137.507,,,,,,
2306.726,2.238,137.507,,,,,,
2306.879,2.238,137.507,,,,,,
2307.031,2.238,137.507,,,,,,
2307.184,2.238,137.507,,,,,,
2307.336,2.238,137.507,,,,,,
2307.488,2.238,137.507,,,,,,
2307.641,2.238,137.507,,,,,,
2307.793,2.238,137.507,,,,,,
2307.946,2.238,137.507,,,,,,
2308.098,2.238,137.507,,,,,,
2308.25,2.238,137.507,,,,,,
2308.403,2.238,137.507,,,,,,
2308.555,2.238,137.507,,,,,,
2308.708,2.238,137.507,,,,,,
2308.86,2.238,137.507,,,,,,
2309.012,2.238,137.507,,,,,,
2309.165,2.238,137.507,,,,,,
2309.317,2.238,137.507,,,,,,
2309.469,2.238,137.507,,,,,,
2309.622,2.238,137.507,,,,,,
2309.774,2.238,137.507,,,,,,
2309.927,2.238,137.507,,,,,,
2310.079,2.238,137.507,,,,,,
2310.232,2.238,137.507,,,,,,
2310.384,2.238,137.507,,,,,,
2310.536,2.238,137.507,,,,,,
2310.689,2.238,137.507,,,,,,
2310.841,2.238,137.507,,,,,,
2310.994,2.238,137.507,,,,,,
2311.146,2.238,137.507,,,,,,
2311.298,2.238,137.507,,,,,,
2311.451,2.238,137.507,,,,,,
2311.603,2.238,137.507,,,,,,
2311.756,2.238,137.507,,,,,,
2311.908,2.238,137.507,,,,,,
2312.06,2.238,137.507,,,,,,
2312.213,2.238,137.507,,,,,,
2312.365,2.238,137.507,,,,,,
2312.518,2.238,137.507,,,,,,
2312.67,2.238,137.507,,,,,,
2312.823,2.238,137.507,,,,,,
2312.975,2.238,137.507,,,,,,
2313.127,2.238,137.507,,,,,,
2313.28,2.238,137.507,,,,,,
2313.432,2.238,137.507,,,,,,
2313.584,2.238,137.507,,,,,,
2313.737,2.238,137.507,,,,,,
2313.889,2.238,137.507,,,,,,
2314.042,2.238,137.507,,,,,,
2314.194,2.238,137.507,,,,,,
2314.346,2.238,137.507,,,,,,
2314.499,2.238,137.507,,,,,,
2314.651,2.238,137.507,,,,,,
2314.804,2.238,137.507,,,,,,
2314.956,2.238,137.507,,,,,,
2315.108,2.238,137.507,,,,,,
2315.261,2.238,137.507,,,,,,
2315.413,2.238,137.507,,,,,,
2315.566,2.238,137.507,,,,,,
2315.718,2.238,137.507,,,,,,
2315.87,2.238,137.507,,,,,,
2316.023,2.238,137.507,,,,,,
2316.175,2.238,137.507,,,,,,
2316.328,2.238,137.507,,,,,,
2316.48,2.238,137.507,,,,,,
2316.632,2.238,137.507,,,,,,
2316.785,2.238,137.507,,,,,,
2316.937,2.238,137.507,,,,,,
2317.09,2.238,137.507,,,,,,
2317.242,2.238,137.507,,,,,,
2317.394,2.238,137.507,,,,,,
2317.547,2.238,137.507,,,,,,
2317.699,2.238,137.507,,,,,,
2317.852,2.238,137.507,,,,,,
2318.004,2.238,137.507,,,,,,
2318.156,2.238,137.507,,,,,,
2318.309,2.238,137.507,,,,,,
2318.461,2.238,137.507,,,,,,
2318.614,2.238,137.507,,,,,,
2318.766,2.238,137.507,,,,,,
2318.918,2.238,137.507,,,,,,
