DEPTH(m),CALI,GR,RESS,RESD,DENSITY,NEUTRON,Depth_ft,PERM
1922.678,12.056,86.73,1.342,1.342,2.105,0.396,6308.0,0.2324
1922.831,12.064,79.598,1.256,1.257,2.105,0.381,6308.5,0.2324
1922.983,12.063,72.18,1.093,1.083,2.092,0.365,6309.0,572.4
1923.136,12.044,68.811,0.988,0.973,2.072,0.373,6309.5,749.911
1923.288,12.023,71.912,0.964,0.953,2.057,0.372,6310.0,927.986
1923.44,12.029,73.837,0.93,0.931,2.05,0.375,6310.5,1019.99
1923.593,12.071,73.915,0.924,0.933,2.05,0.35,6311.0,1020.43
1923.745,12.089,76.56,0.92,0.931,2.052,0.352,6311.5,993.452
1932.737,12.087,92.608,1.671,1.588,2.106,0.43,6341.0,0.2324
1932.889,12.019,88.486,1.373,1.296,2.107,0.414,6341.5,0.2324
1933.042,11.994,78.306,1.199,1.14,2.107,0.414,6342.0,0.2324
1933.194,11.984,73.611,1.093,1.043,2.101,0.394,6342.5,0.2324
1933.346,11.978,64.927,1.048,0.994,2.089,0.392,6343.0,0.2324
1933.499,11.975,67.271,0.998,0.942,2.076,0.402,6343.5,0.2324
1933.651,11.973,67.491,1.04,0.983,2.072,0.414,6344.0,0.2324
1933.804,11.981,74.271,1.108,1.042,2.081,0.41,6344.5,0.2324
1933.956,11.982,80.585,1.297,1.229,2.102,0.416,6345.0,0.2324
1934.108,12.002,84.702,1.539,1.475,2.126,0.404,6345.5,0.2324
1934.261,12.028,84.927,1.616,1.571,2.139,0.447,6346.0,0.2324
1934.413,12.008,81.267,1.335,1.29,2.133,0.435,6346.5,0.2324
1934.566,12.01,81.082,1.122,1.068,2.117,0.426,6347.0,0.2324
1934.718,12.037,85.257,1.094,1.037,2.11,0.431,6347.5,0.2324
1934.87,12.058,90.369,1.3,1.24,2.121,0.452,6348.0,0.2324
1935.023,12.079,91.565,1.667,1.619,2.14,0.445,6348.5,0.2324
1935.175,12.172,91.751,1.948,1.883,2.152,0.415,6349.0,0.2324
1935.328,12.274,92.178,2.001,1.895,2.155,0.407,6349.5,0.2324
1935.48,12.288,102.091,2.069,1.935,2.157,0.452,6350.0,0.2324
1935.632,12.253,100.566,2.115,1.973,2.163,0.468,6350.5,0.2324
1935.785,12.177,96.892,2.011,1.858,2.167,0.458,6351.0,0.2324
1935.937,12.147,91.643,1.892,1.741,2.166,0.421,6351.5,0.2324
1936.09,12.149,93.439,1.883,1.75,2.159,0.404,6352.0,0.2324
1936.242,12.114,95.375,1.918,1.806,2.147,0.412,6352.5,0.2324
1936.394,12.06,92.815,1.706,1.618,2.13,0.41,6353.0,0.2324
1936.547,12.033,88.979,1.421,1.335,2.114,0.42,6353.5,0.2324
1936.699,12.0,85.654,1.183,1.102,2.109,0.392,6354.0,0.2324
1936.852,11.954,82.166,1.194,1.119,2.122,0.429,6354.5,0.2324
1937.004,11.952,79.548,1.381,1.319,2.141,0.441,6355.0,0.2324
1937.156,11.962,80.735,1.537,1.477,2.151,0.456,6355.5,0.2324
1937.309,11.962,80.242,1.525,1.456,2.15,0.437,6356.0,0.2324
1937.461,11.955,78.647,1.515,1.456,2.147,0.43,6356.5,0.2324
1937.614,11.948,77.606,1.437,1.397,2.141,0.441,6357.0,0.2324
1937.766,11.944,74.191,1.315,1.297,2.128,0.444,6357.5,0.2324
1937.918,11.941,77.339,1.184,1.183,2.11,0.468,6358.0,0.2324
1938.071,11.949,77.378,1.111,1.121,2.095,0.437,6358.5,0.2324
1938.223,11.975,77.387,1.07,1.087,2.089,0.425,6359.0,0.2324
1938.376,11.998,75.793,1.026,1.043,2.091,0.473,6359.5,0.2324
1938.528,12.008,79.364,1.07,1.089,2.103,0.526,6360.0,0.2324
1938.68,11.996,83.485,1.251,1.302,2.123,0.5,6360.5,0.2324
1938.833,11.979,79.899,1.369,1.465,2.139,0.404,6361.0,0.2324
1938.985,11.966,64.747,1.269,1.361,2.136,0.35,6361.5,305.696
1939.138,11.921,57.032,1.051,1.12,2.113,0.368,6362.0,423.488
1939.29,11.878,52.202,0.879,0.942,2.085,0.359,6362.5,631.362
1939.442,11.867,58.235,0.793,0.848,2.069,0.4,6363.0,782.586
1939.595,11.868,66.488,0.807,0.869,2.072,0.393,6363.5,0.2324
1939.747,11.87,72.293,0.977,1.083,2.085,0.409,6364.0,0.2324
1939.9,11.872,74.135,1.129,1.287,2.091,0.427,6364.5,0.2324
1940.052,11.873,69.512,1.089,1.234,2.082,0.471,6365.0,0.2324
1940.204,11.873,64.126,0.978,1.096,2.06,0.475,6365.5,0.2324
1940.357,11.873,57.457,0.935,1.05,2.038,0.442,6366.0,1069.55
1940.509,11.875,55.372,0.851,0.949,2.024,0.377,6366.5,1069.55
1940.662,11.87,52.925,0.79,0.861,2.018,0.361,6367.0,1069.55
1940.814,11.854,54.098,0.809,0.882,2.021,0.342,6367.5,1069.55
1940.966,11.85,54.295,0.906,1.004,2.035,0.319,6368.0,1069.55
1941.119,11.849,57.052,0.964,1.062,2.057,0.291,6368.5,933.013
1941.271,11.848,57.3,0.941,1.008,2.079,0.315,6369.0,678.834
1941.424,11.848,58.138,0.903,0.951,2.089,0.366,6369.5,596.916
1941.576,11.85,58.946,0.878,0.923,2.074,0.4,6370.0,728.08
1941.728,11.863,57.788,0.872,0.921,2.042,0.375,6370.5,1069.55
1941.881,11.891,58.055,0.904,0.96,2.01,0.421,6371.0,1069.55
1942.033,11.899,56.207,0.924,0.976,2.0,0.405,6371.5,1069.55
1942.186,11.898,67.679,0.923,0.956,2.023,0.431,6372.0,1069.55
1942.338,12.049,75.989,1.04,1.062,2.075,0.426,6372.5,0.2324
1942.49,12.318,87.009,1.322,1.347,2.135,0.443,6373.0,0.2324
1942.643,12.772,87.752,1.848,1.892,2.178,0.467,6373.5,0.2324
1942.795,13.115,91.431,2.171,2.165,2.203,0.426,6374.0,0.2324
1942.948,12.678,86.66,2.21,2.114,2.217,0.403,6374.5,0.2324
1943.1,12.333,85.506,2.284,2.159,2.23,0.34,6375.0,117.733
1943.252,12.263,74.366,2.322,2.187,2.24,0.284,6375.5,1060.41
1943.405,12.182,67.129,2.373,2.245,2.246,0.275,6376.0,1028.6
1943.557,12.105,55.918,2.23,2.156,2.24,0.277,6376.5,1064.4
1943.71,12.09,50.548,1.711,1.647,2.218,0.287,6377.0,1195.8101
1943.862,12.029,44.243,1.249,1.176,2.189,0.308,6377.5,1396.67
1944.014,11.996,47.402,0.959,0.887,2.166,0.329,6378.0,1579.14
1944.167,12.084,55.879,0.946,0.87,2.156,0.37,6378.5,1671.58
1944.319,12.301,66.979,1.204,1.127,2.157,0.412,6379.0,117.733
1944.472,12.494,79.479,1.747,1.679,2.169,0.405,6379.5,117.733
1944.624,12.532,83.305,2.317,2.242,2.193,0.374,6380.0,117.733
1944.776,12.592,87.567,2.552,2.435,2.216,0.351,6380.5,117.733
1944.929,12.641,81.417,2.581,2.434,2.227,0.389,6381.0,117.733
1945.081,12.66,80.362,2.498,2.359,2.22,0.419,6381.5,117.733
1945.234,12.651,76.281,2.428,2.318,2.204,0.48,6382.0,117.733
1945.386,12.515,75.544,2.385,2.307,2.198,0.432,6382.5,117.733
1945.538,12.323,66.905,2.369,2.335,2.206,0.372,6383.0,117.733
1945.691,12.118,53.606,2.02,2.006,2.205,0.311,6383.5,1281.95
1945.843,11.958,43.87,1.462,1.426,2.178,0.303,6384.0,1483.8
1945.996,11.899,40.048,1.118,1.071,2.135,0.32,6384.5,1869.26
1946.148,11.897,35.931,0.951,0.908,2.104,0.333,6385.0,2203.1599
1946.3,11.932,37.732,0.872,0.831,2.095,0.336,6385.5,2316.2
1946.453,11.994,47.665,0.824,0.774,2.096,0.365,6386.0,2308.24
1946.605,12.066,63.796,0.926,0.862,2.098,0.404,6386.5,117.733
1957.121,12.299,83.291,0.921,0.88,2.102,0.398,6421.0,0.2324
1957.273,12.324,71.588,1.268,1.24,2.128,0.366,6421.5,342.818
1957.426,12.244,64.907,1.378,1.346,2.145,0.35,6422.0,271.478
1957.578,12.066,62.444,1.066,1.004,2.129,0.403,6422.5,336.725
1957.73,12.034,69.111,0.923,0.853,2.095,0.448,6423.0,549.075
1957.883,12.161,77.184,1.059,0.989,2.074,0.634,6423.5,0.2324
