well,form,sample,core,orient,depth,log depth,tvdss,rho_g,rho_b,rho_fl,fluid,mud,description,,por_1000,ka_1000,kb_1000
Freeman-4,690,1**,1,,8272.20,8282.20,8198.12,2.62,2.301,,oil,obm,"shly sst, dk gry, vf gr, wl srt, arg, consol, wl cmt",,19.3,3.30,
Freeman-4,690,2**,1,,8274.30,8284.30,8200.12,2.61,2.297,,oil,obm,"shly sst, dk gry, vf gr, wl srt, arg, org carb, consol, wl cmt",,18.4,2.00,
Freeman-4,690,3,2,,8327.45,8340.45,8256.09,2.65,2.176,,oil,obm,"Sst, brn-gry, vf gr, wl srt, sli shly, arg, org carb lam, pr cmt",,32.5,590.00,307.00
Freeman-4,690,4,2,,8327.90,8340.90,8256.59,2.65,2.138,,oil,obm,"Sst, brn-gry, vf-f gr, wl srt, sli shly, arg, org carb lam, pr cmt",,32.9,1050.00,652.00
Freeman-4,690,5,2,,8328.75,8341.75,8257.59,2.63,2.077,,oil,obm,"Sst, brn-gry, vf-f gr, wl srt, mica, mass, pr cmt",,36.7,2610.00,800.00
Freeman-4,690,6,2,,8329.50,8342.50,8258.59,2.66,2.001,,oil,obm,"Sst, brn-gry, vf-f gr, wl srt, mica, mass, pr cmt",,37.4,4320.00,1050.00
Freeman-4,690,7,2,,8331.00,8344.00,8260.09,2.64,1.973,,oil,obm,"Sst, brn-gry, f gr, wl srt, mica, mass, pr cmt",,35.8,2710.00,935.00
Freeman-4,690,8,2,,8334.50,8347.50,8263.59,2.64,2.162,,oil,obm,"Sst, gry, vf-f gr, wl srt, mica, sli shly, mud conc, pr cmt",,32.6,450.00,248.00
Freeman-4,690,9,3,,8355.20,8367.90,8283.58,2.64,2.004,,oil,obm,"Sst, gry, vf gr, wl srt, shly, mud conc, pr cmt",,32.1,79.00,12.00
Freeman-4,690,10,3,,8356.30,8369.00,8285.08,2.66,2.097,,oil,obm,"Sst, brn-gry, vf gr, wl srt, mica, shly, mud conc, pr cmt",,31.6,92.00,12.00
Freeman-4,690,11,3,,8357.80,8370.50,8286.57,2.68,2.073,,oil,obm,"Sst, gry, vf gr, wl srt, shly, arg, mud conc, pr cmt",,28.8,24.00,3.40
Freeman-4,690,12,3,,8358.80,8371.50,8287.57,2.64,2.080,,oil,obm,"Sst, gry, vf gr, wl srt, shly, arg, mud conc, pr cmt",,32.2,712.00,341.00
Freeman-4,690,13,3,,8360.70,8373.40,8289.07,2.67,2.052,,oil,obm,"Sst, gry, vf gr, wl srt, shly, arg, mud conc, pr cmt",,28.0,39.00,9.00
Freeman-4,690,14,3,,8366.40,8379.10,8295.07,2.63,2.006,,oil,obm,"Sst, gry, f gr, wl srt, mica, org carb, mud conc, pr cmt",,34.6,5020.00,2010.00
Freeman-4,690,15,3,,8367.40,8380.10,8296.07,2.63,2.064,,oil,obm,"Sst, gry, f gr, wl srt, mica, org carb, pr cmt",,36.6,7160.00,2070.00
Freeman-4,690,16,3,,8384.20,8396.90,8312.56,2.63,1.971,,oil,obm,"Sst, gry, f gr, wl srt, mica, thn Sh lam, org carb, pr cmt",,34.6,6210.00,1160.00
Freeman-4,690,17,3,,8385.20,8397.90,8313.56,2.63,1.969,,oil,obm,"Sst, brn-gry, f gr, wl srt, mica, mud conc, pr cmt",,35.0,9150.00,1750.00
Freeman-4,690,18,4,,8406.30,8409.30,8325.05,2.64,1.983,,oil,obm,"Sst, brn-gry, f gr, wl srt, mica, mass, pr cmt",,34.7,4280.00,785.00
Freeman-4,690,19,4,,8407.30,8410.30,8326.05,2.64,1.984,,oil,obm,"Sst, brn-gry, f gr, wl srt, mica, mass, pr cmt",,34.8,6220.00,1130.00
Freeman-4,690,20,4,,8408.30,8411.30,8327.05,2.66,1.982,,oil,obm,"Sst, brn-gry, f gr, wl srt, mica, mass, pr cmt",,33.8,3290.00,674.00
Freeman-4,690,21,4,,8409.30,8412.30,8328.05,2.65,1.972,,oil,obm,"Sst, brn-gry, f gr, wl srt, mica, mass, pr cmt",,33.0,4990.00,1410.00
Freeman-4,690,22,4,,8410.20,8413.20,8329.05,2.64,1.964,,oil,obm,"Sst, brn-gry, f gr, wl srt, mica, mass, pr cmt",,33.9,5380.00,1420.00
Freeman-4,690,23,4,,8411.20,8414.20,8330.05,2.63,1.964,,oil,obm,"Sst, brn-gry, f gr, wl srt, mica, mass, pr cmt",,35.3,3830.00,994.00
Freeman-4,690,24,4,,8412.40,8415.40,8331.04,2.64,1.956,,oil,obm,"Sst, brn-gry, f-m gr, mod srt, mica, mass, pr cmt",,30.8,3970.00,1280.00
Freeman-4,690,25,4,,8413.35,8416.35,8332.04,2.65,1.962,,oil,obm,"Sst, brn-gry, vf-f gr, wl srt, mass, pr cmt",,35.2,3920.00,1250.00
Freeman-4,690,26,4,,8414.40,8417.40,8333.04,2.63,1.966,,oil,obm,"Sst, brn-gry, f gr, wl srt, mica, mass, pr cmt",,36.3,3980.00,1270.00
Freeman-4,690,27,4,,8415.70,8418.70,8334.54,2.66,1.958,,oil,obm,"Sst, brn-gry, f-crs gr, pbly, pr srt, mica, mass, pr cmt",,29.0,6070.00,1420.00
Freeman-4,690,28,4,,8417.40,8420.40,8336.04,2.64,1.975,,oil,obm,"Sst, brn-gry, f-m gr, occ gr, pr srt, mica, mass, pr cmt",,32.2,5480.00,923.00
Freeman-4,690,29,4,,8418.45,8421.45,8337.04,2.64,1.966,,oil,obm,"Sst, brn-gry, f gr, wl srt, mica, mass, pr cmt",,32.2,3330.00,1100.00
Freeman-4,690,30,4,,8419.15,8422.15,8338.04,2.65,1.964,,oil,obm,"Sst, brn-gry, f-crs gr, pr srt, mica, mass, pr cmt",,30.4,4510.00,983.00
Freeman-4,690,31,4,,8420.15,8423.15,8339.04,2.64,1.967,,oil,obm,"Sst, brn-gry, f-crs gr, pr srt, mica, mass, pr cmt",,30.6,2840.00,922.00
Freeman-4,690,32,4,,8421.45,8424.45,8340.04,2.65,1.966,,oil,obm,"Sst, brn-gry, f-m gr, occ crs gr, pr srt, mica, mass, pr cmt",,30.0,1960.00,879.00
Freeman-4,690,33,4,,8422.20,8425.20,8341.04,2.65,1.976,,oil,obm,"Sst, brn-gry, f gr, wl srt, mica, mass, pr cmt",,30.5,2500.00,868.00
Freeman-4,690,34,4,,8423.20,8426.20,8342.04,2.64,1.970,,oil,obm,"Sst, brn-gry, f-m gr, occ crs gr, pr srt, mica, mass, pr cmt",,30.4,6510.00,1400.00
Freeman-4,690,35,4,,8425.20,8428.20,8344.04,2.64,1.962,,oil,obm,"Sst, brn-gry, f-m gr, occ crs gr, pr srt, mica, mass, pr cmt",,30.3,4530.00,2050.00
Freeman-4,690,36,4,,8426.20,8429.20,8345.03,2.65,1.972,,oil,obm,"Sst, brn-gry, f-m gr, mod srt, mica, mass, pr cmt",,31.2,4810.00,1300.00
Freeman-4,690,37**,4,,8433.20,8436.20,8352.03,2.65,1.978,,oil,obm,"shly sst, dk gry, vf gr, occ crs gr, pr srt, mass, wl cmt",,16.8,0.43, 
Freeman-4,690,38**,4,,8434.20,8437.20,8353.03,2.65,1.968,,oil,obm,"shly sst, dk gry, vf gr, occ crs gr, pr srt, mass, wl cmt",,16.7,0.58, 
Freeman-4,690,39**,4,,8435.20,8438.20,8354.03,2.64,1.973,,oil,obm,"shly sst, dk gry, vf gr, occ crs gr, pr srt, mass, wl cmt",,16.9,0.61, 
Freeman-4,690,40**,4,,8436.20,8439.20,8355.03,2.65,1.973,,oil,obm,"shly sst, dk gry, vf gr, occ crs gr, pr srt, mass, wl cmt",,17.3,0.58, 
